id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt10680606,Minecraft Epic,tvSeries,"Action, Adventure, Comedy",9.5,4048.0,2019.0,9.310820235668086
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,401709.0,2005.0,9.29810184580619
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2414209.0,2011.0,9.199694716498632
tt33175825,Attack on Titan the Movie: The Last Attack,movie,"Action, Adventure, Animation",9.2,14343.0,2024.0,9.149520802288892
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,642873.0,2013.0,9.098894165979958
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,595780.0,2013.0,9.098806794110825
tt1355642,Fullmetal Alchemist: Brotherhood,tvSeries,"Action, Adventure, Animation",9.1,217774.0,2009.0,9.096738121087276
tt1831164,Leyla and Mecnun,tvSeries,"Adventure, Comedy, Drama",9.1,99482.0,2011.0,9.092869559709872
tt0316613,Pretenders,tvSeries,"Adventure, Comedy, Mystery",9.2,6239.0,2002.0,9.08656552093297
tt12423408,In Search of the Automatic House,tvSeries,"Action, Adventure, Comedy",9.3,3022.0,2013.0,9.067449788181175
tt0259534,Ramayana: The Legend of Prince Rama,movie,"Action, Adventure, Animation",9.1,16321.0,1993.0,9.05710511188314
tt13854248,The Legend of Hanuman,tvSeries,"Action, Adventure, Animation",9.1,13212.0,2021.0,9.047205311782529
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2065772.0,2003.0,8.999668302535161
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9.0,386448.0,2021.0,8.998227864390929
tt0388629,One Piece,tvSeries,"Action, Adventure, Animation",9.0,288352.0,1999.0,8.997625533174489
tt2098220,Hunter x Hunter,tvSeries,"Action, Adventure, Animation",9.0,159715.0,2011.0,8.995716196100755
tt0103359,Batman: The Animated Series,tvSeries,"Action, Adventure, Animation",9.0,125893.0,1992.0,8.994567686243757
