id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0903747,Breaking Bad,tvSeries,"Crime, Drama, Thriller",9.5,2303332.0,2008.0,9.499646292573214
tt0809488,The Godfather: A Novel for Television,tvMiniSeries,"Crime, Drama, Thriller",9.5,6656.0,1977.0,9.382169595809463
tt0306414,The Wire,tvSeries,"Crime, Drama, Thriller",9.3,400152.0,2002.0,9.298094464824947
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2110507.0,1972.0,9.199650791587043
tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,517833.0,1999.0,9.198577285028572
tt12392504,Scam 1992: The Harshad Mehta Story,tvMiniSeries,"Biography, Crime, Drama",9.2,164183.0,2020.0,9.19551758525816
tt9471962,Halka,tvSeries,"Action, Crime, Drama",9.2,24246.0,2019.0,9.169920536830135
tt5721762,Kothao Keu Nei,tvMiniSeries,"Crime, Drama",9.6,1421.0,1990.0,9.099584973227644
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.1,1041988.0,2010.0,9.099317630806343
tt7450814,Koombiyo,tvSeries,"Crime, Drama, Thriller",9.1,18197.0,2017.0,9.06146525547369
tt1043822,Vratice se rode,tvSeries,"Comedy, Crime, Drama",9.1,9328.0,2007.0,9.02581649682095
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,3000297.0,2008.0,8.999771609913303
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1421137.0,1974.0,8.999517870287395
tt0050083,12 Angry Men,movie,"Crime, Drama",9.0,918192.0,1957.0,8.99925385540984
tt3032476,Better Call Saul,tvSeries,"Crime, Drama",9.0,720399.0,2015.0,8.999049067317678
tt0157217,Byomkesh Bakshi,tvSeries,"Adventure, Crime, Mystery",9.2,3279.0,1993.0,8.991662734602158
tt7920978,Persona,tvSeries,"Crime, Drama, Mystery",9.0,51316.0,2018.0,8.986712607950023
tt1114271,Thursday,movie,"Action, Adventure, Crime",9.1,5166.0,2006.0,8.968903733644689
tt13733810,The Why Files,tvSeries,"Comedy, Crime, Reality-TV",9.6,1004.0,2020.0,8.934364809994015
tt0110912,Pulp Fiction,movie,"Crime, Drama",8.9,2320508.0,1994.0,8.899715870983611
tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,696355.0,2014.0,8.899053425218302
tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,417983.0,2006.0,8.89842340739338
tt5354160,Mirror Game,movie,"Crime, Mystery, Thriller",8.9,30279.0,2016.0,8.878407320552178
tt1909015,Undercover,tvSeries,"Action, Crime, Drama",8.9,28050.0,2011.0,8.876707151613353
tt5275892,O.J.: Made in America,movie,"Biography, Crime, Documentary",8.9,23020.0,2016.0,8.871674159329116
tt3189256,Om,movie,"Crime, Drama, Romance",9.0,4295.0,1995.0,8.849517513180158
tt10478048,The Other Me,tvSeries,"Crime, Drama, Mystery",8.9,7595.0,2019.0,8.816043131528195
tt0137523,Fight Club,movie,"Crime, Drama, Thriller",8.8,2445807.0,1999.0,8.799741013838148
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,442093.0,2014.0,8.798567888819363
tt7137906,When They See Us,tvMiniSeries,"Biography, Crime, Drama",8.8,146946.0,2019.0,8.795696496416713
tt1795096,Behzat Ç: An Ankara Detective Story,tvSeries,"Crime, Drama, Mystery",8.8,34710.0,2010.0,8.781884033144284
tt6108262,Black Sun,tvSeries,"Crime, Drama, Thriller",8.8,13249.0,2017.0,8.753102069516025
tt13661118,Not Me,tvMiniSeries,"Action, Crime, Romance",8.8,12451.0,2021.0,8.750157573172498
tt0247882,Forensic Files,tvSeries,"Crime, Documentary",8.8,7694.0,1996.0,8.720344870491948
tt0289649,Okupas,tvMiniSeries,"Crime, Drama",8.9,3327.0,2000.0,8.716119005862366
tt0386950,Air Crash Investigation,tvSeries,"Crime, Documentary, History",8.8,6356.0,2003.0,8.704233220713899
