id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt2147999,Devon Ke Dev... Mahadev,tvSeries,"Action, Drama, Fantasy",9.3,5230.0,2011.0,9.160995218623146
tt0197139,A Dog's Will,tvMiniSeries,"Comedy, Drama, Fantasy",9.2,6192.0,1999.0,9.08573907224034
tt8284230,The Last Drive-In with Joe Bob Briggs,tvSeries,"Comedy, Fantasy, Horror",9.4,2069.0,2018.0,9.061126612982148
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2065772.0,2003.0,8.999668302535161
tt0052520,The Twilight Zone,tvSeries,"Drama, Fantasy, Horror",9.0,99852.0,1959.0,8.993154625915459
tt4834232,Critical Role,tvSeries,"Adventure, Fantasy",9.0,14339.0,2015.0,8.953055401768902
tt2110659,De'ah Da'iah,tvSeries,"Comedy, Family, Fantasy",9.5,1159.0,2008.0,8.925389813132892
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2095251.0,2001.0,8.89968532851431
tt10709628,Astartes,tvMiniSeries,"Action, Animation, Fantasy",9.2,1990.0,2018.0,8.872255560258976
tt27446493,Twinkling Watermelon,tvSeries,"Comedy, Drama, Fantasy",8.9,8278.0,2023.0,8.822760074384732
tt0167261,The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",8.8,1862097.0,2002.0,8.799659840951474
tt9646546,Dimension 20,tvSeries,"Adventure, Comedy, Fantasy",9.3,1181.0,2018.0,8.770140802098918
tt0376364,31 minutos,tvSeries,"Comedy, Family, Fantasy",9.1,1703.0,2002.0,8.737514146290744
tt5141800,Nirvana in Fire,tvSeries,"Action, Drama, Fantasy",8.9,3176.0,2015.0,8.708035736542195
tt33131012,Wedding Diaries,movie,"Drama, Family, Fantasy",9.0,2029.0,2024.0,8.70048197334897
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,"Action, Adventure, Fantasy",8.7,1432403.0,1980.0,8.69957589630703
tt20859920,Alchemy of Souls,tvSeries,"Action, Drama, Fantasy",8.7,22336.0,2022.0,8.67310921686313
tt14888874,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,movie,"Action, Animation, Fantasy",8.7,17257.0,2020.0,8.665311872289474
tt0441059,Kaamelott,tvSeries,"Adventure, Comedy, Fantasy",8.8,4204.0,2004.0,8.658055737177333
tt0062588,Mister Rogers' Neighborhood,tvSeries,"Family, Fantasy, Music",8.7,9953.0,1968.0,8.640501640719
tt3443522,Mushi-Shi: Next Passage,tvSeries,"Animation, Drama, Fantasy",8.8,3408.0,2014.0,8.627243729212555
tt0076759,Star Wars: Episode IV - A New Hope,movie,"Action, Adventure, Fantasy",8.6,1499617.0,1977.0,8.59961216977605
tt0120689,The Green Mile,movie,"Crime, Drama, Fantasy",8.6,1475749.0,1999.0,8.599605898311543
tt4574334,Stranger Things,tvSeries,"Drama, Fantasy, Horror",8.6,1429569.0,2016.0,8.59959316977638
