id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0043014,Sunset Boulevard,movie,"Drama, Film-Noir",8.4,247509.0,1950.0,8.397861316856988
tt0036775,Double Indemnity,movie,"Crime, Drama, Film-Noir",8.3,173916.0,1944.0,8.297106374364994
tt0023042,I Am a Fugitive from a Chain Gang,movie,"Crime, Drama, Film-Noir",8.2,14999.0,1932.0,8.168665798598926
tt0041959,The Third Man,movie,"Drama, Film-Noir, Mystery",8.1,188823.0,1949.0,8.09760845958379
tt0043338,Ace in the Hole,movie,"Drama, Film-Noir",8.1,40640.0,1951.0,8.088943562312586
tt0048424,The Night of the Hunter,movie,"Crime, Drama, Film-Noir",8.0,102129.0,1955.0,7.995836453051358
tt0039689,Out of the Past,movie,"Crime, Drama, Film-Noir",8.0,42433.0,1947.0,7.990014587159712
tt0051036,Sweet Smell of Success,movie,"Drama, Film-Noir",8.0,37619.0,1957.0,7.98874551863938
tt0033870,The Maltese Falcon,movie,"Crime, Drama, Film-Noir",7.9,170511.0,1941.0,7.897655342009853
tt0044079,Strangers on a Train,movie,"Crime, Drama, Film-Noir",7.9,145145.0,1951.0,7.897246312034212
tt0052311,Touch of Evil,movie,"Crime, Drama, Film-Noir",7.9,112236.0,1958.0,7.896440755189319
tt0038787,Notorious,movie,"Drama, Film-Noir, Mystery",7.9,110575.0,1946.0,7.896387415008233
tt0049406,The Killing,movie,"Crime, Drama, Film-Noir",7.9,101426.0,1956.0,7.896062376506097
tt0038355,The Big Sleep,movie,"Crime, Drama, Film-Noir",7.9,92919.0,1946.0,7.89570287787914
tt0037008,Laura,movie,"Drama, Film-Noir, Mystery",7.9,53554.0,1944.0,7.892559469924042
tt0037884,The Lost Weekend,movie,"Drama, Film-Noir",7.9,41618.0,1945.0,7.8904387314044095
tt0042593,In a Lonely Place,movie,"Drama, Film-Noir, Mystery",7.9,37154.0,1950.0,7.88929791128812
tt0045555,The Big Heat,movie,"Crime, Drama, Film-Noir",7.9,30902.0,1953.0,7.887150693335337
tt0037913,Mildred Pierce,movie,"Crime, Drama, Film-Noir",7.9,29885.0,1945.0,7.886717182690502
tt0029870,Angels with Dirty Faces,movie,"Crime, Drama, Film-Noir",7.9,23952.0,1938.0,7.883462176490952
tt0036342,Shadow of a Doubt,movie,"Drama, Film-Noir, Mystery",7.8,72783.0,1943.0,7.794872850620498
tt0042208,The Asphalt Jungle,movie,"Crime, Drama, Film-Noir",7.8,31376.0,1950.0,7.788161933144379
tt0042788,Night and the City,movie,"Crime, Film-Noir, Sport",7.8,15904.0,1950.0,7.776829966901097
tt0027652,Fury,movie,"Crime, Drama, Film-Noir",7.8,14166.0,1936.0,7.774038319238991
tt0041859,The Set-Up,movie,"Action, Crime, Film-Noir",7.8,10474.0,1949.0,7.765107868724722
tt0038669,The Killers,movie,"Crime, Drama, Film-Noir",7.7,24686.0,1946.0,7.686025366006111
tt0038057,Scarlet Street,movie,"Crime, Drama, Film-Noir",7.7,20212.0,1945.0,7.682971166773603
tt0039661,Nightmare Alley,movie,"Drama, Film-Noir",7.7,13910.0,1947.0,7.675397187876523
tt0038559,Gilda,movie,"Drama, Film-Noir, Romance",7.6,37119.0,1946.0,7.591366652978288
tt0037469,The Woman in the Window,movie,"Crime, Drama, Film-Noir",7.6,18604.0,1944.0,7.582892580979824
tt0046187,Pickup on South Street,movie,"Crime, Drama, Film-Noir",7.6,16844.0,1953.0,7.581132126236476
tt0042530,Gun Crazy,movie,"Crime, Drama, Film-Noir",7.6,15735.0,1950.0,7.579823856134953
tt0037865,Leave Her to Heaven,movie,"Drama, Film-Noir, Romance",7.6,15655.0,1945.0,7.579722430251505
tt0039677,Odd Man Out,movie,"Crime, Drama, Film-Noir",7.6,12105.0,1947.0,7.573900255178133
tt0043132,Where the Sidewalk Ends,movie,"Crime, Drama, Film-Noir",7.6,10545.0,1950.0,7.570131687802891
tt0040338,The Fallen Idol,movie,"Drama, Film-Noir, Mystery",7.6,10199.0,1948.0,7.569143503062004
tt0040160,The Big Clock,movie,"Crime, Drama, Film-Noir",7.6,10189.0,1948.0,7.569113969661412
tt0044954,The Narrow Margin,movie,"Crime, Drama, Film-Noir",7.6,9135.0,1952.0,7.56564857941478
tt0039204,Body and Soul,movie,"Drama, Film-Noir, Sport",7.6,5567.0,1947.0,7.544610840202959
tt0042296,Caged,movie,"Crime, Drama, Film-Noir",7.6,5152.0,1950.0,7.540362734249204
