id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt8284230,The Last Drive-In with Joe Bob Briggs,tvSeries,"Comedy, Fantasy, Horror",9.4,2069.0,2018.0,9.061126612982148
tt16591746,Guard: Revenge for Love,movie,"Horror, Thriller",9.4,2048.0,2025.0,9.05804193975832
tt0052520,The Twilight Zone,tvSeries,"Drama, Fantasy, Horror",9.0,99852.0,1959.0,8.993154625915459
tt12245638,Ordem Paranormal,tvSeries,"Adventure, Drama, Horror",9.2,2111.0,2020.0,8.888988504228877
tt7415686,The Kill Count,tvSeries,"Comedy, Horror",9.3,1568.0,2017.0,8.882376986875995
tt5773402,Dominion,movie,"Documentary, Horror",8.9,4826.0,2018.0,8.770325025569802
tt29332321,Wendigo,movie,Horror,8.9,4582.0,2011.0,8.763789042557827
tt0214915,Manichithrathazhu,movie,"Comedy, Horror, Mystery",8.7,13368.0,1993.0,8.655412251781202
tt33088719,Hide N Seek,movie,Horror,8.9,2189.0,2024.0,8.630638380319624
tt6439480,Jerma985,tvSeries,"Comedy, Crime, Horror",9.5,671.0,2011.0,8.623873930131657
tt0102926,The Silence of the Lambs,movie,"Crime, Drama, Horror",8.6,1623428.0,1991.0,8.599641742992967
tt4574334,Stranger Things,tvSeries,"Drama, Fantasy, Horror",8.6,1429569.0,2016.0,8.59959316977638
tt7908628,What We Do in the Shadows,tvSeries,"Comedy, Fantasy, Horror",8.6,117549.0,2019.0,8.595062328152778
tt32324638,Akkada Varu Ikkada Unnaru,movie,Horror,9.1,1033.0,2024.0,8.54953773608548
tt25506052,Choo Mantar,movie,Horror,9.2,866.0,2025.0,8.544802448908836
tt27870211,Generation Loss: The Social Experiments,tvMiniSeries,"Comedy, Horror",9.2,842.0,2023.0,8.530520213462708
tt0078748,Alien,movie,"Horror, Sci-Fi",8.5,1010009.0,1979.0,8.499449851677994
tt0054215,Psycho,movie,"Horror, Mystery, Thriller",8.5,748564.0,1960.0,8.499257772203874
tt6763664,The Haunting of Hill House,tvMiniSeries,"Drama, Horror, Mystery",8.5,307551.0,2018.0,8.498194349615096
tt2243973,Hannibal,tvSeries,"Crime, Drama, Horror",8.5,290029.0,2013.0,8.498085359212308
tt4093826,Twin Peaks,tvSeries,"Crime, Drama, Horror",8.5,82215.0,2017.0,8.493260939872231
tt0397150,Garth Marenghi's Darkplace,tvMiniSeries,"Comedy, Fantasy, Horror",8.5,20856.0,2004.0,8.473677610941152
tt6723522,BuzzFeed Unsolved: Supernatural,tvSeries,"Adventure, Comedy, Horror",8.7,1836.0,2016.0,8.409977448698061
tt0055657,The Alfred Hitchcock Hour,tvSeries,"Crime, Drama, Horror",8.5,5456.0,1962.0,8.402747638674093
tt0081505,The Shining,movie,"Drama, Horror",8.4,1160160.0,1980.0,8.399543356972803
tt0090605,Aliens,movie,"Action, Adventure, Horror",8.4,804949.0,1986.0,8.3993419125928
tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,507724.0,2005.0,8.398956860278833
tt4189022,Ash vs Evil Dead,tvSeries,"Action, Comedy, Horror",8.4,82411.0,2015.0,8.393590211140951
tt7214598,Land of Hope and Glory,movie,"Documentary, Horror",9.1,731.0,2017.0,8.381618944467112
tt1795369,National Theatre Live: Frankenstein,movie,"Drama, Horror, Sci-Fi",8.5,4427.0,2011.0,8.381391966500733
tt0184135,The League of Gentlemen,tvSeries,"Comedy, Horror",8.4,12724.0,1999.0,8.359185300394548
tt0071003,Kolchak: The Night Stalker,tvSeries,"Horror, Mystery, Thriller",8.4,6636.0,1974.0,8.323147607689984
tt3921820,Les Synaudes,tvMiniSeries,"Animation, Horror, Mystery",8.6,1709.0,2010.0,8.304422131617093
tt6611916,Kingdom,tvSeries,"Action, Drama, Horror",8.3,58870.0,2019.0,8.291476310355705
tt0386224,Monkey Dust,tvSeries,"Animation, Comedy, Horror",8.5,2363.0,2003.0,8.288025459581405
tt14192814,Kursadzije,tvSeries,"Comedy, Drama, Horror",8.3,22470.0,2006.0,8.277825806459697
