id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt2077886,The Phantom of the Opera at the Royal Albert Hall,movie,"Drama, Musical, Romance",8.8,10363.0,2011.0,8.740359890324088
tt1754109,Les Misérables in Concert: The 25th Anniversary,movie,"Drama, Musical",8.8,6621.0,2010.0,8.707921912067215
tt0086231,Sagara Sangamam,movie,"Drama, Music, Musical",8.8,3713.0,1983.0,8.640509253530324
tt1621830,Monpura,movie,"Crime, Drama, Musical",8.7,9505.0,2009.0,8.637771687323069
tt2033193,A Very Potter Musical,tvSeries,"Comedy, Musical",8.8,3263.0,2009.0,8.620131389841692
tt20784402,Madhi,movie,Musical,8.8,2205.0,2022.0,8.542898845382485
tt0232152,Nagara Haavu,movie,"Drama, Musical",9.0,1204.0,1972.0,8.531580830500644
tt0214585,Chithram,movie,"Comedy, Drama, Musical",8.6,6426.0,1988.0,8.512984705313754
tt5190958,Katyar Kaljat Ghusali,movie,Musical,8.7,2666.0,2015.0,8.492274446161517
tt0863046,Flight of the Conchords,tvSeries,"Comedy, Music, Musical",8.5,68036.0,2007.0,8.491861816458341
tt0262455,Gundamma Katha,movie,"Comedy, Drama, Musical",8.8,1664.0,1962.0,8.470568255341885
tt0090521,The Singing Detective,tvMiniSeries,"Drama, Musical, Mystery",8.5,4954.0,1986.0,8.393382458281687
tt1227926,Dr. Horrible's Sing-Along Blog,tvMiniSeries,"Comedy, Musical, Sci-Fi",8.4,44593.0,2008.0,8.388185649581345
tt0074028,The Muppet Show,tvSeries,"Comedy, Family, Musical",8.4,26988.0,1976.0,8.380552088487631
tt0416394,The Mighty Boosh,tvSeries,"Comedy, Fantasy, Musical",8.4,24735.0,2003.0,8.37879902196617
tt7638556,Come from Away,movie,"Comedy, Drama, Musical",8.5,4274.0,2021.0,8.3773886510087
tt0066461,One Song a Day Takes Mischief Away,movie,"Comedy, Drama, Musical",8.5,2743.0,1970.0,8.314857679887556
tt0045152,Singin' in the Rain,movie,"Comedy, Musical, Romance",8.3,271046.0,1952.0,8.29814232231261
tt0237038,Bharatham,movie,"Drama, Musical",8.4,3330.0,1991.0,8.25235518390149
tt0175157,Sherekilebi,movie,"Comedy, Musical",8.6,1402.0,1974.0,8.249790942217002
tt0146645,Dosti,movie,"Drama, Family, Musical",8.5,1936.0,1964.0,8.246789410033003
tt0242256,Alai Payuthey,movie,"Drama, Musical, Romance",8.3,7764.0,2000.0,8.237180949149002
tt0050870,Thirst,movie,"Drama, Musical, Romance",8.3,7664.0,1957.0,8.236388079644382
tt0367110,Swades,movie,"Drama, Musical",8.2,101196.0,2004.0,8.195287593071042
tt1562872,Zindagi Na Milegi Dobara,movie,"Comedy, Drama, Musical",8.2,89877.0,2011.0,8.194695823589047
tt3033536,Twisted: The Untold Story of a Royal Vizier,movie,Musical,8.6,1140.0,2013.0,8.184204971424188
tt4592410,The Get Down,tvMiniSeries,"Drama, Music, Musical",8.2,24095.0,2016.0,8.180368841053726
tt1180583,Vaaranam Aayiram,movie,"Action, Drama, Musical",8.2,14999.0,2008.0,8.168665798598926
tt0090500,Pee-wee's Playhouse,tvSeries,"Comedy, Family, Musical",8.2,5605.0,1986.0,8.118469091920607
tt11874226,David Byrne's American Utopia,movie,"Documentary, Music, Musical",8.2,5520.0,2020.0,8.117269900505699
tt21099140,Christina Grimmie Zeldaxlove 64,tvSeries,"Documentary, Music, Musical",8.8,654.0,2009.0,8.106136642959958
tt0069627,Schoolhouse Rock!,tvSeries,"Animation, Family, Musical",8.2,4506.0,1973.0,8.099664796437029
tt0169102,Lagaan: Once Upon a Time in India,movie,"Drama, Musical, Sport",8.1,123491.0,2001.0,8.096345880848666
tt0066763,Anand,movie,"Drama, Musical",8.1,36298.0,1971.0,8.087630351369707
tt6346162,Newsies: The Broadway Musical,movie,Musical,8.2,3864.0,2017.0,8.08404141523707
tt10314462,Zoey's Extraordinary Playlist,tvSeries,"Comedy, Drama, Musical",8.1,18538.0,2020.0,8.075943116189947
tt11375428,Hridayam,movie,"Drama, Musical, Romance",8.1,17561.0,2022.0,8.074624172560181
tt0091256,Permission,movie,"Drama, Musical, Romance",8.3,1802.0,1987.0,8.055459852024475
tt11229886,Les Misérables: The Staged Concert,movie,"Drama, History, Musical",8.6,808.0,2019.0,8.054829198708942
tt0063404,Padosan,movie,"Comedy, Musical, Romance",8.1,7804.0,1968.0,8.04391699801841
tt28197611,Jeongnyeon: The Star Is Born,tvMiniSeries,"Drama, Music, Musical",8.4,1134.0,2024.0,8.01959996771173
tt1773441,Gaalipata,movie,"Comedy, Musical, Romance",8.3,1440.0,2008.0,8.003356536210973
tt20541384,Rivo,tvMiniSeries,"Drama, Musical",8.3,1435.0,2022.0,8.002480965184441
tt0067093,Fiddler on the Roof,movie,"Drama, Family, Musical",8.0,49675.0,1971.0,7.99146278597794
tt28814949,Taylor Swift: The Eras Tour,movie,"Documentary, Music, Musical",8.0,24010.0,2023.0,7.982434494829718
tt0077060,Pennies from Heaven,tvMiniSeries,"Drama, Musical, Romance",8.3,1255.0,1978.0,7.967108821018786
tt9509866,The Guy Who Didn't Like Musicals,movie,"Comedy, Horror, Musical",8.4,959.0,2018.0,7.964944790658819
tt2456330,Butterfly Symphony,movie,"Drama, Musical, Romance",8.4,956.0,2013.0,7.963870580265384
tt4263976,"O Olmasin, Bu Olsun",movie,"Comedy, Musical, Romance",8.5,708.0,1956.0,7.925235527427549
tt0066758,Amar Prem,movie,"Drama, Musical, Romance",8.1,2082.0,1972.0,7.906835862888697
tt6162808,Miss Saigon: 25th Anniversary,movie,"Drama, Musical, Romance",8.1,2058.0,2016.0,7.90483502590524
tt29794647,Gaga Chromatica Ball,movie,"Music, Musical",8.1,1972.0,2024.0,7.897311857921308
tt0168629,Dancer in the Dark,movie,"Crime, Drama, Musical",7.9,120141.0,2000.0,7.896674441486898
tt0347304,Kal Ho Naa Ho,movie,"Comedy, Drama, Musical",7.9,78101.0,2003.0,7.894890285286146
tt0056436,Sahib Bibi Aur Ghulam,movie,"Drama, Musical",8.1,1917.0,1962.0,7.892188766094872
tt1411769,Qayinana,movie,"Comedy, Musical",8.4,771.0,1978.0,7.885536655361594
tt4094300,Crazy Ex-Girlfriend,tvSeries,"Comedy, Musical",7.9,23477.0,2015.0,7.883131224933537
tt3555534,The Singing Pond,movie,"Drama, Family, Musical",8.5,639.0,2014.0,7.8810721102699794
tt11772746,Thiruchitrambalam,movie,"Comedy, Drama, Musical",7.9,16646.0,2022.0,7.876314862763825
tt0279248,Dudes,movie,"Comedy, Music, Musical",7.9,8342.0,2001.0,7.853447593887041
tt0153509,Devil's Bride,movie,"Music, Musical",8.3,866.0,1974.0,7.852002448908837
tt0494823,Sugar Pie Lady,movie,"Comedy, History, Musical",7.9,7018.0,1983.0,7.844977704414243
tt0107423,Lipstick on Your Collar,tvMiniSeries,"Comedy, Drama, Musical",8.1,1464.0,1993.0,7.837552382485455
tt0928368,The Pyjamas,tvSeries,"Comedy, Family, Musical",8.4,660.0,2003.0,7.823397992407444
