id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt17543878,Arkadas Canlisi,tvSeries,Reality-TV,9.5,6302.0,2022.0,9.375812033992142
tt13191804,In the SOOP BTS Ver.,tvSeries,Reality-TV,9.3,3341.0,2020.0,9.088056320839568
tt7866314,BTS: Bon Voyage,tvSeries,Reality-TV,9.3,2878.0,2016.0,9.056774866121277
tt11289784,Unus Annus,tvSeries,"Comedy, Reality-TV",9.4,1691.0,2019.0,8.995437310267919
tt10541088,Clarkson's Farm,tvSeries,"Comedy, Documentary, Reality-TV",9.0,70666.0,2021.0,8.990337719492738
tt3062514,Khawatir,tvSeries,"Documentary, Family, Reality-TV",9.1,4493.0,2005.0,8.950337280097315
tt13733810,The Why Files,tvSeries,"Comedy, Crime, Reality-TV",9.6,1004.0,2020.0,8.934364809994015
tt2185037,Running Man,tvSeries,"Comedy, Game-Show, Reality-TV",9.1,3844.0,2010.0,8.92666408847732
tt33094114,India's Got Latent,tvSeries,"Comedy, Game-Show, Reality-TV",9.1,3662.0,2024.0,8.91861840219904
tt13464516,Cooku with Comali,tvSeries,Reality-TV,9.2,1723.0,2019.0,8.828104316358447
tt15697242,Unstoppable with NBK,tvSeries,"Reality-TV, Talk-Show",8.9,4910.0,2021.0,8.772432337980739
tt26493973,Jinny's Kitchen,tvSeries,Reality-TV,8.8,4073.0,2023.0,8.653763332184313
tt4817038,Casey Neistat Vlog,tvSeries,"Documentary, Reality-TV",9.1,1307.0,2015.0,8.645851056847025
tt23743442,The Traitors UK,tvSeries,"Game-Show, Reality-TV",8.7,6591.0,2022.0,8.611299672266048
tt2100976,Impractical Jokers,tvSeries,"Comedy, Reality-TV",8.6,48807.0,2011.0,8.588144596156654
tt16385150,Shark Tank India,tvSeries,Reality-TV,8.7,4263.0,2021.0,8.565635284171261
tt1877368,The Great British Baking Show,tvSeries,"Game-Show, Reality-TV",8.6,14128.0,2010.0,8.559567856747233
tt11904786,Love on the Spectrum,tvSeries,"Documentary, Reality-TV, Romance",8.6,8002.0,2019.0,8.529585129526987
