id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0303461,Firefly,tvSeries,"Adventure, Drama, Sci-Fi",8.9,289786.0,2002.0,8.89772656917038
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2666425.0,2010.0,8.799762440077274
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2318503.0,2014.0,8.699737964808385
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2142402.0,1999.0,8.69971642866278
tt11280740,Severance,tvSeries,"Drama, Mystery, Sci-Fi",8.7,291292.0,2022.0,8.697915982984185
tt0103064,Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",8.6,1224871.0,1991.0,8.599525195493557
tt0094517,Mystery Science Theater 3000,tvSeries,"Comedy, Sci-Fi",8.6,26969.0,1988.0,8.578636064162717
tt32341602,Darshini,movie,"Comedy, Sci-Fi, Thriller",8.8,2133.0,2024.0,8.53516001464149
tt0482571,The Prestige,movie,"Drama, Mystery, Sci-Fi",8.5,1505197.0,2006.0,8.499630811365474
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1368465.0,1985.0,8.499593930372393
tt0078748,Alien,movie,"Horror, Sci-Fi",8.5,1010009.0,1979.0,8.499449851677994
tt0436992,Doctor Who,tvSeries,"Adventure, Drama, Sci-Fi",8.5,255763.0,2005.0,8.497829103573217
tt3230854,The Expanse,tvSeries,"Drama, Mystery, Sci-Fi",8.5,182128.0,2015.0,8.49695264879088
tt0061287,The Prisoner,tvSeries,"Drama, Mystery, Sci-Fi",8.5,15609.0,1967.0,8.464973705257275
tt12820524,Helsreach: The Movie,movie,Sci-Fi,8.7,1767.0,2019.0,8.400100076516505
tt4154796,Avengers: Endgame,movie,"Action, Adventure, Sci-Fi",8.4,1343322.0,2019.0,8.399605608262563
tt4154756,Avengers: Infinity War,movie,"Action, Adventure, Sci-Fi",8.4,1275673.0,2018.0,8.39958469789536
tt0475784,Westworld,tvSeries,"Drama, Mystery, Sci-Fi",8.4,546303.0,2016.0,8.399030490145714
tt1119644,Fringe,tvSeries,"Drama, Mystery, Sci-Fi",8.4,263433.0,2008.0,8.397990469013177
tt2384811,Utopia,tvSeries,"Drama, Mystery, Sci-Fi",8.4,53316.0,2013.0,8.390109244144144
tt1227926,Dr. Horrible's Sing-Along Blog,tvMiniSeries,"Comedy, Musical, Sci-Fi",8.4,44593.0,2008.0,8.388185649581345
tt0094535,Red Dwarf,tvSeries,"Comedy, Sci-Fi",8.4,38183.0,1988.0,8.386215669190532
tt1795369,National Theatre Live: Frankenstein,movie,"Drama, Horror, Sci-Fi",8.5,4427.0,2011.0,8.381391966500733
tt11262762,Someday or One Day,tvSeries,"Drama, Romance, Sci-Fi",8.6,2028.0,2019.0,8.345650526900936
tt11296054,Beach Road Chetan,movie,"Action, Drama, Sci-Fi",9.2,572.0,2019.0,8.312999705201493
tt0136650,Legacy from the Future - Fantastic Adventures of Family Mézga,tvSeries,"Animation, Comedy, Sci-Fi",8.6,1742.0,1970.0,8.309296729146647
tt0338013,Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",8.3,1130005.0,2004.0,8.299554088916416
tt0062622,2001: A Space Odyssey,movie,"Adventure, Sci-Fi",8.3,749299.0,1968.0,8.299327607409998
tt5834204,The Handmaid's Tale,tvSeries,"Drama, Sci-Fi, Thriller",8.3,270929.0,2017.0,8.2981415208454
tt0017136,Metropolis,movie,"Drama, Sci-Fi",8.3,193153.0,1927.0,8.297394177998378
tt2234222,Orphan Black,tvSeries,"Drama, Sci-Fi, Thriller",8.3,119971.0,2013.0,8.29580805751495
tt12327578,Star Trek: Strange New Worlds,tvSeries,"Action, Adventure, Sci-Fi",8.3,63845.0,2022.0,8.292137819091204
tt8694364,Years and Years,tvMiniSeries,"Drama, Sci-Fi",8.3,34788.0,2019.0,8.285619389820026
tt2358592,Lucia,movie,"Drama, Sci-Fi, Thriller",8.3,13588.0,2013.0,8.2636024232702
tt0107290,Jurassic Park,movie,"Action, Adventure, Sci-Fi",8.2,1111707.0,1993.0,8.199570043288215
tt0066921,A Clockwork Orange,movie,"Crime, Sci-Fi",8.2,907668.0,1971.0,8.199473418848676
tt0084787,The Thing,movie,"Horror, Mystery, Sci-Fi",8.2,494357.0,1982.0,8.199033397130345
tt2431438,Sense8,tvSeries,"Drama, Mystery, Sci-Fi",8.2,167143.0,2015.0,8.19714401712657
tt29623480,The Wild Robot,movie,"Animation, Sci-Fi",8.2,154190.0,2024.0,8.196904497633668
tt1235547,Better Off Ted,tvSeries,"Comedy, Sci-Fi",8.2,27858.0,2009.0,8.182996150194631
tt4983780,Maanaadu,movie,"Action, Adventure, Sci-Fi",8.2,26236.0,2021.0,8.181955189847988
tt0070233,Ivan Vasilyevich Changes His Profession,movie,"Adventure, Comedy, Sci-Fi",8.2,19389.0,1973.0,8.175666874746662
tt32485455,I 20,movie,"Romance, Sci-Fi",9.1,493.0,2024.0,8.154258982742608
tt0865409,Frisky Dingo,tvSeries,"Animation, Comedy, Sci-Fi",8.2,7772.0,2006.0,8.140468528828594
tt6456546,The Cheat,tvSeries,"Action, Drama, Sci-Fi",8.2,5897.0,2017.0,8.12233637995816
tt13259622,Bee & Puppycat: Lazy in Space,tvSeries,"Animation, Comedy, Sci-Fi",8.5,1199.0,2022.0,8.118794756531166
tt6332276,What We Left Behind: Looking Back at Star Trek: Deep Space Nine,movie,"Documentary, Sci-Fi",8.3,2361.0,2018.0,8.107634639321542
tt0434409,V for Vendetta,movie,"Action, Drama, Sci-Fi",8.1,1210459.0,2005.0,8.099626504896287
tt1392190,Mad Max: Fury Road,movie,"Action, Adventure, Sci-Fi",8.1,1159036.0,2015.0,8.099609937725102
tt0088247,The Terminator,movie,"Action, Adventure, Sci-Fi",8.1,959193.0,1984.0,8.099528692164926
tt3315342,Logan,movie,"Action, Drama, Sci-Fi",8.1,883865.0,2017.0,8.099488536398766
