id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt4202274,The Filthy Frank Show,tvSeries,"Comedy, Short",9.2,33760.0,2011.0,9.17833277741916
tt5961444,Upanishad Ganga,tvSeries,"Drama, History, Short",9.5,1187.0,2012.0,8.936516428092974
tt8199790,Joe Pera Talks with You,tvSeries,"Comedy, Short",8.9,3893.0,2018.0,8.741185634639317
tt7137290,Choque de Cultura,tvSeries,"Comedy, Short",9.4,823.0,2016.0,8.670889792072495
tt6982604,Sugar Pine 7,tvSeries,"Comedy, Short",9.0,1112.0,2016.0,8.500147888418994
tt12074628,Smiling Friends,tvSeries,"Animation, Comedy, Short",8.5,20846.0,2020.0,8.473665138830725
tt1948541,Broad City,tvSeries,"Comedy, Short",8.6,3651.0,2010.0,8.451228326092696
tt6205862,Inside Look: The People v. O.J. Simpson - American Crime Story,tvSeries,"Documentary, Short",8.4,27544.0,2016.0,8.380941004748497
tt4151288,The Originals: Awakening,tvMiniSeries,"Mystery, Short",8.4,4591.0,2013.0,8.290742836087102
tt5496184,The Gay and Wondrous Life of Caleb Gallo,tvMiniSeries,"Comedy, Short",8.6,1459.0,2016.0,8.261410218290129
tt1535002,Between Two Ferns with Zach Galifianakis,tvSeries,"Comedy, Short, Talk-Show",8.3,10004.0,2008.0,8.250891820619941
tt8103440,Herne Katha,tvSeries,"Documentary, Short",9.5,382.0,2018.0,8.228865452453107
tt1967111,Jake and Amir,tvSeries,"Comedy, Short",8.6,1136.0,2007.0,8.183012727614653
tt1138475,The Guild,tvSeries,"Comedy, Short",8.2,10631.0,2007.0,8.156097589992877
tt14050960,Mr. Queen: The Bamboo Forest,tvMiniSeries,"Comedy, Romance, Short",8.4,1810.0,2021.0,8.143887266806399
tt1412738,Matthew Gray Gubler: The Unauthorized Documentary,tvSeries,"Comedy, Short",9.3,387.0,2006.0,8.11888971365703
tt0435032,Hunter x Hunter: Greed Island Final,tvMiniSeries,"Adventure, Animation, Short",8.4,1550.0,2004.0,8.107077255402125
tt12564744,Selena + Chef,tvSeries,"Reality-TV, Short, Talk-Show",8.3,2166.0,2020.0,8.092166084545337
tt2061165,How It Should Have Ended,tvSeries,"Animation, Comedy, Short",8.2,3792.0,2005.0,8.081980438168955
tt4127260,Carmilla,tvSeries,"Comedy, Fantasy, Short",8.2,3628.0,2014.0,8.077000966046421
tt9422974,TSP's Rabish Ki Report,tvMiniSeries,"Comedy, Short",8.7,686.0,2017.0,8.057039952404699
tt1861312,Doctor Who: Space and Time,tvMiniSeries,"Comedy, Sci-Fi, Short",8.3,1652.0,2011.0,8.036265177929065
tt7001196,Hat,tvSeries,"Comedy, Fantasy, Short",8.9,455.0,2017.0,7.976474446810142
tt9511560,Thera Para,tvMiniSeries,"Comedy, Short",8.9,452.0,2018.0,7.972577714518202
tt3070014,Sarah and Duck,tvSeries,"Animation, Family, Short",8.4,924.0,2013.0,7.952073334761151
tt1496375,24: Day Six - Debrief,tvMiniSeries,"Action, Short",8.1,1618.0,2007.0,7.859085111892616
tt13788764,To My Star,tvSeries,"Drama, Romance, Short",8.0,2732.0,2021.0,7.857473338355881
tt4453218,The Katering Show,tvSeries,"Comedy, Short",8.6,503.0,2015.0,7.836617788743361
tt3240428,Life According to Jimmy,tvSeries,"Comedy, Short",9.0,316.0,2011.0,7.8081787043868545
tt3692970,Night and the Doctor,tvMiniSeries,"Sci-Fi, Short",8.2,867.0,2011.0,7.775402091494175
tt7174850,Inside Look: Feud - Bette and Joan,tvSeries,"Documentary, Short",8.6,445.0,2017.0,7.77372550429324
tt0840800,Battlestar Galactica: The Resistance,tvMiniSeries,"Drama, Sci-Fi, Short",7.8,11049.0,2006.0,7.766882097189815
tt1325113,Childrens Hospital,tvSeries,"Comedy, Short",7.8,8348.0,2008.0,7.756489224471062
tt2587452,The Outs,tvSeries,"Drama, Short",8.3,641.0,2012.0,7.740003061136047
tt1047801,Yacht Rock,tvSeries,"Comedy, Music, Short",8.7,373.0,2005.0,7.738611954149432
tt12597800,Home Movie: The Princess Bride,tvMiniSeries,"Comedy, Fantasy, Short",7.9,2109.0,2020.0,7.730913325600693
tt2361190,Pond Life,tvMiniSeries,"Comedy, Sci-Fi, Short",8.0,1297.0,2012.0,7.726030048214937
tt8429428,Weekend Box Office,tvSeries,"News, Short",8.0,1251.0,2018.0,7.717683943723471
tt2123765,The Misadventures of Awkward Black Girl,tvSeries,"Comedy, Short",8.3,595.0,2011.0,7.709839291595365
tt3089666,Schmoes Know,tvSeries,"Comedy, News, Short",8.2,671.0,2008.0,7.685916940884345
tt21989170,Gumbino,tvSeries,"Comedy, Short",8.6,370.0,2016.0,7.675203108143785
tt1922746,The Hillywood Show,tvSeries,"Comedy, Music, Short",8.4,469.0,2006.0,7.67211916898687
tt8010592,Inside Look: The Assassination of Gianni Versace - American Crime Story,tvSeries,"Documentary, Short",7.7,10671.0,2017.0,7.668106381978265
tt33079585,Bas Pedala,tvMiniSeries,Short,8.7,322.0,2018.0,7.654221609332945
tt3127434,Tim's Kitchen Tips,tvSeries,"Comedy, Short, Talk-Show",8.2,597.0,2013.0,7.641475181100983
tt7435402,Better Call Saul: Los Pollos Hermanos Employee Training,tvMiniSeries,"Animation, Comedy, Short",8.1,673.0,2017.0,7.6148098229854515
tt11712662,Wrong Number,tvMiniSeries,"Drama, Short",7.9,1126.0,2019.0,7.610904516261691
tt4079084,Princess Rap Battle,tvSeries,"Comedy, Musical, Short",8.1,642.0,2014.0,7.598116265285728
tt18815464,Blueming,tvMiniSeries,"Drama, Romance, Short",7.8,1550.0,2022.0,7.592981069664146
tt12059644,Better Call Saul: Ethics Training with Kim Wexler,tvMiniSeries,"Animation, Comedy, Short",8.1,619.0,2020.0,7.58496896927385
tt8836798,Local 58,tvSeries,"Horror, Short",8.1,596.0,2015.0,7.5711143333595805
