id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt11207734,Londra Merkez,tvSeries,"Comedy, Sport",9.5,2076.0,2018.0,9.151050430416465
tt0108700,Baseball,tvMiniSeries,"Documentary, History, Sport",9.2,4943.0,1994.0,9.058305027878207
tt8203520,I stin Alpha i sti Vita oloi pan gia ti marmita,tvSeries,Sport,9.5,1163.0,2007.0,8.927006156837159
tt31853193,Gundi: Legend of Love,movie,"Biography, Sport",9.0,5426.0,2024.0,8.879455189977563
tt10986410,Ted Lasso,tvSeries,"Comedy, Drama, Sport",8.8,393801.0,2020.0,8.798392383786792
tt20779822,Bandon Mein Tha Dum!,tvMiniSeries,"Documentary, Sport",8.8,6428.0,2022.0,8.705264356964625
tt1628033,Top Gear,tvSeries,"Adventure, Sport, Talk-Show",8.7,131847.0,2002.0,8.695400683958505
tt5712554,The Grand Tour,tvSeries,"Comedy, Sport, Talk-Show",8.7,90107.0,2016.0,8.693276262698607
tt0758745,Friday Night Lights,tvSeries,"Drama, Sport",8.7,75691.0,2006.0,8.692000036274159
tt11347692,"The Test: A New Era for Australia's Team""",tvSeries,"Documentary, Sport",8.8,3784.0,2020.0,8.643310105125511
tt9686346,Chasing the Sun,tvSeries,"Documentary, Sport",9.5,620.0,2020.0,8.573040676931106
tt14113640,Barstool Yak,tvSeries,"Sport, Talk-Show",9.5,573.0,2021.0,8.520676388248127
tt3592032,Ping Pong the Animation,tvMiniSeries,"Animation, Drama, Sport",8.6,5337.0,2014.0,8.496051242856048
tt1424432,Senna,movie,"Biography, Documentary, Sport",8.5,80230.0,2010.0,8.493094742822281
tt8289930,Formula 1: Drive to Survive,tvSeries,"Documentary, Sport",8.5,55466.0,2019.0,8.490026070076672
tt11580854,Sarpatta Parambarai,movie,"Action, Drama, Sport",8.5,26594.0,2021.0,8.479302228988287
tt8948790,Jersey,movie,"Drama, Sport",8.5,24449.0,2019.0,8.477505372957035
tt4171176,Lucha Underground,tvSeries,"Action, Drama, Sport",8.8,1694.0,2014.0,8.475628650805142
tt3673794,Kingdom,tvSeries,"Drama, Sport",8.5,20331.0,2014.0,8.473006447548443
tt0497294,High Stakes Poker,tvSeries,"Game-Show, Reality-TV, Sport",8.9,1267.0,2006.0,8.467891713645113
tt22185582,Sixer,tvSeries,"Drama, Sport",8.5,14222.0,2022.0,8.461618862994438
tt26924816,Real Madrid: Until the End,tvMiniSeries,"Documentary, Sport",8.7,2117.0,2023.0,8.444277253797324
tt4640206,Sachin - A Billion Dreams,movie,"Documentary, Sport",8.5,8500.0,2017.0,8.43654558226081
tt12269504,Undertaker: The Last Ride,tvMiniSeries,"Documentary, Sport",8.7,2032.0,2020.0,8.434789504592946
tt11564450,Loser is Winner,movie,Sport,9.3,531.0,2024.0,8.334180702560053
tt5863126,Last Chance U,tvSeries,"Documentary, Sport",8.4,7721.0,2016.0,8.333596836468978
tt27859721,99,tvMiniSeries,"Documentary, Sport",8.6,1827.0,2024.0,8.321142260317565
tt0135733,Match of the Day,tvSeries,"News, Sport",8.5,2770.0,1964.0,8.316508007600675
tt32132269,99,tvMiniSeries,"Documentary, Sport",8.6,1686.0,2024.0,8.300926866335445
tt1344204,Blue Mountain State,tvSeries,"Comedy, Sport",8.3,61099.0,2010.0,8.291785957088276
tt5637798,All or Nothing: A Season with the Arizona Cardinals,tvMiniSeries,"Documentary, Sport",8.5,2355.0,2016.0,8.28737672342098
tt2211065,The Other Sport,tvSeries,"Documentary, Sport",8.7,1213.0,2013.0,8.287230132488071
tt0079606,National Class Category Up to 785 Ccm,movie,"Comedy, Drama, Sport",8.4,4336.0,1979.0,8.284679598481489
tt10244600,Winning Time: The Rise of the Lakers Dynasty,tvSeries,"Biography, Drama, Sport",8.3,30716.0,2022.0,8.283728902502743
tt0110057,Hoop Dreams,movie,"Documentary, Drama, Sport",8.3,28708.0,1994.0,8.282600985777693
tt14674086,Welcome to Wrexham,tvSeries,"Documentary, Reality-TV, Sport",8.3,22767.0,2022.0,8.278111819465927
tt22297946,Brawn: The Impossible Formula 1 Story,tvMiniSeries,"Documentary, Sport",8.4,3830.0,2023.0,8.270409086579223
tt18568902,Kaun Pravin Tambe?,movie,"Biography, Drama, Sport",8.3,11446.0,2022.0,8.256941713372273
tt0784889,Inside the NBA,tvSeries,"Sport, Talk-Show",8.8,893.0,1988.0,8.250089197068093
tt0165961,Sports Night,tvSeries,"Comedy, Drama, Sport",8.3,8853.0,1998.0,8.244688625441444
tt6328046,What's My Name: Muhammad Ali,movie,"Biography, Documentary, Sport",8.4,2553.0,2019.0,8.211558589979532
tt13081200,Man in the Arena,tvMiniSeries,"Documentary, Sport",8.5,1606.0,2021.0,8.201985391432943
tt0188335,Hockey Night in Canada,tvSeries,Sport,9.3,432.0,1952.0,8.19580717079948
tt0118849,Children of Heaven,movie,"Drama, Family, Sport",8.2,84972.0,1997.0,8.194390570977959
tt2356180,Bhaag Milkha Bhaag,movie,"Biography, Drama, Sport",8.2,74311.0,2013.0,8.193588611439218
