id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt33508743,Renkli Sayfalar,tvSeries,Talk-Show,9.8,3439.0,2016.0,9.558654071125591
tt31369068,Bi' Kahve 2 Sohbet,tvSeries,Talk-Show,9.6,6609.0,2016.0,9.47759213090018
tt32315359,Cumartesi-Pazar Surpriz,tvSeries,Talk-Show,9.5,7973.0,2016.0,9.401020742835572
tt3787912,Best of the Worst,tvSeries,"Comedy, Talk-Show",9.4,3845.0,2013.0,9.207773575785197
tt2348531,Half in the Bag,tvSeries,"Comedy, Talk-Show",9.3,5640.0,2011.0,9.170656510429302
tt25378820,Suchwita,tvSeries,Talk-Show,9.1,3034.0,2022.0,8.88402755998252
tt3204810,On Cinema,tvSeries,"Comedy, Talk-Show",9.2,1794.0,2012.0,8.840965784229148
tt6407712,Norm Macdonald Live,tvSeries,"Comedy, Talk-Show",9.2,1684.0,2013.0,8.8206396062905
tt3530232,Last Week Tonight with John Oliver,tvSeries,"Comedy, News, Talk-Show",8.8,99615.0,2014.0,8.793657035414848
tt15697242,Unstoppable with NBK,tvSeries,"Reality-TV, Talk-Show",8.9,4910.0,2021.0,8.772432337980739
tt9169598,UNHhhh,tvSeries,"Comedy, Talk-Show",9.1,1861.0,2016.0,8.76452960142568
tt1628033,Top Gear,tvSeries,"Adventure, Sport, Talk-Show",8.7,131847.0,2002.0,8.695400683958505
tt5712554,The Grand Tour,tvSeries,"Comedy, Sport, Talk-Show",8.7,90107.0,2016.0,8.693276262698607
tt6111552,Content Cop,tvSeries,"Comedy, Crime, Talk-Show",8.7,12600.0,2015.0,8.652749261608403
tt5895684,Every Frame a Painting,tvSeries,"Documentary, History, Talk-Show",9.1,1229.0,2014.0,8.622044862246264
tt11225622,Stranger Things: Spotlight,tvSeries,Talk-Show,8.8,3258.0,2018.0,8.61987567671949
tt4664182,Rocket Beans TV,tvSeries,Talk-Show,9.4,727.0,2012.0,8.599901374262112
tt7249164,Penguinz0,tvSeries,"Comedy, Talk-Show",8.9,1838.0,2007.0,8.585552100630634
tt5763098,re:View,tvSeries,"Comedy, Talk-Show",8.9,1768.0,2016.0,8.574693021718028
tt4087032,Good Mythical Morning,tvSeries,"Comedy, Family, Talk-Show",8.8,2414.0,2012.0,8.563001404797022
tt9098706,Mesut Süre ile Iliski Testi,tvSeries,"Comedy, Talk-Show",9.0,1267.0,2018.0,8.550919236580892
tt12054924,Some Good News,tvSeries,"Comedy, News, Talk-Show",9.0,1253.0,2020.0,8.54676108136405
tt9434592,Titu Talks,tvSeries,"Comedy, Talk-Show",8.7,3327.0,2018.0,8.53056407000068
tt2360717,Satyamev Jayate,tvSeries,"Documentary, Talk-Show",8.6,7699.0,2012.0,8.526904090854794
tt14113640,Barstool Yak,tvSeries,"Sport, Talk-Show",9.5,573.0,2021.0,8.520676388248127
tt1657563,Check It Out! with Dr. Steve Brule,tvSeries,"Comedy, Talk-Show",8.6,7071.0,2010.0,8.520641576401424
tt0169455,Inside the Actors Studio,tvSeries,Talk-Show,8.6,5529.0,1994.0,8.499499439361168
tt2244495,The Eric Andre Show,tvSeries,"Comedy, Talk-Show",8.5,23101.0,2012.0,8.476207309718426
tt5897920,Your Movie Sucks,tvSeries,"Comedy, Talk-Show",8.6,4229.0,2010.0,8.470388314398939
