id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0903747,Breaking Bad,tvSeries,"Crime, Drama, Thriller",9.5,2303332.0,2008.0,9.499646292573214
tt0809488,The Godfather: A Novel for Television,tvMiniSeries,"Crime, Drama, Thriller",9.5,6656.0,1977.0,9.382169595809463
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,938309.0,2019.0,9.299187062370573
tt0306414,The Wire,tvSeries,"Crime, Drama, Thriller",9.3,400152.0,2002.0,9.298094464824947
tt7450814,Koombiyo,tvSeries,"Crime, Drama, Thriller",9.1,18197.0,2017.0,9.06146525547369
tt34942632,Pratyartha,movie,"Comedy, Romance, Thriller",9.4,2059.0,2025.0,9.059664691554117
tt16591746,Guard: Revenge for Love,movie,"Horror, Thriller",9.4,2048.0,2025.0,9.05804193975832
tt10526388,Marmadesam,tvSeries,"Mystery, Thriller",9.6,964.0,1997.0,8.912594239593163
tt5354160,Mirror Game,movie,"Crime, Mystery, Thriller",8.9,30279.0,2016.0,8.878407320552178
tt4266402,Tiflisi,tvSeries,"Action, History, Thriller",9.1,2583.0,2014.0,8.849754663976931
tt3428202,Dhuwan,tvMiniSeries,"Action, Drama, Thriller",9.4,1156.0,1994.0,8.842475445245542
tt0137523,Fight Club,movie,"Crime, Drama, Thriller",8.8,2445807.0,1999.0,8.799741013838148
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,442093.0,2014.0,8.798567888819363
tt6108262,Black Sun,tvSeries,"Crime, Drama, Thriller",8.8,13249.0,2017.0,8.753102069516025
tt27845205,Oka Pathakam Prakaaram,movie,"Drama, Thriller",9.0,2034.0,2025.0,8.701135087231766
tt0118421,Oz,tvSeries,"Crime, Drama, Thriller",8.7,111660.0,1997.0,8.694571098339178
tt0286486,The Shield,tvSeries,"Crime, Drama, Thriller",8.7,92490.0,2002.0,8.693449015676961
tt6019206,Kill Bill: The Whole Bloody Affair,movie,"Action, Crime, Thriller",8.7,18407.0,2006.0,8.66744898505424
tt4063800,The Bureau,tvSeries,"Drama, Thriller",8.7,16690.0,2015.0,8.664151439909283
tt4269716,Umbre,tvSeries,"Crime, Drama, Thriller",8.7,12248.0,2014.0,8.651419425523502
tt2330098,Upendra,movie,"Drama, Thriller",8.8,3916.0,1999.0,8.648264132939506
tt14867276,Mohanagar,tvSeries,Thriller,8.7,8230.0,2021.0,8.628425345155193
tt26768535,Beega,movie,Thriller,9.3,853.0,2023.0,8.613851398401476
tt15891774,Rudrakshapuram 3KM,movie,Thriller,8.9,2029.0,2024.0,8.611801903418899
tt0283524,Opasen char,movie,"Comedy, Thriller",8.9,2027.0,1984.0,8.611549761602118
tt32566980,The Birthday Boy,movie,"Drama, Mystery, Thriller",8.8,3038.0,2024.0,8.6078564619419
tt21211580,Long Drive,movie,Thriller,9.3,834.0,2023.0,8.601923838080916
tt1733785,The Bridge,tvSeries,"Crime, Mystery, Thriller",8.6,80608.0,2011.0,8.592806741378094
tt2049116,Gomorrah,tvSeries,"Crime, Drama, Thriller",8.6,47202.0,2014.0,8.587743679126492
tt1534360,Ezel,tvSeries,"Crime, Drama, Thriller",8.6,40256.0,2009.0,8.58564242268351
tt11854694,Special OPS,tvSeries,"Action, Crime, Thriller",8.6,38736.0,2020.0,8.585082773561288
tt30790226,Viraaji,movie,Thriller,8.8,2615.0,2024.0,8.579576463125415
tt2433738,Wentworth,tvSeries,"Crime, Drama, Thriller",8.6,26053.0,2013.0,8.577892321185104
tt27744719,Thiru.Manickam,movie,Thriller,8.8,2556.0,2024.0,8.574956573720229
tt32341602,Darshini,movie,"Comedy, Sci-Fi, Thriller",8.8,2133.0,2024.0,8.53516001464149
tt13582638,Taqdeer,tvSeries,"Crime, Mystery, Thriller",8.6,8043.0,2020.0,8.529932878224818
tt15516446,Matsya Kaand,tvSeries,Thriller,8.6,6903.0,2021.0,8.518780055155325
tt0407887,The Departed,movie,"Crime, Drama, Thriller",8.5,1479067.0,2006.0,8.499624290220696
