id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0071075,The World at War,tvSeries,"Documentary, History, War",9.2,32822.0,1973.0,9.17771841102211
tt1877514,The Vietnam War,tvMiniSeries,"Documentary, History, War",9.1,31074.0,2017.0,9.07730197411746
tt0388189,Kurtulus,tvMiniSeries,"Drama, History, War",9.2,2981.0,1994.0,8.972500850315567
tt0098769,The Civil War,tvMiniSeries,"Documentary, History, War",9.0,21111.0,1990.0,8.967931808845224
tt1508238,Apocalypse: The Second World War,tvMiniSeries,"Documentary, History, War",9.0,16436.0,2009.0,8.958951946991462
tt3109682,The Palestinian Alienation,tvSeries,"Drama, History, War",9.4,1524.0,2004.0,8.957545011229637
tt3212600,Mahabharat,tvSeries,"Drama, History, War",9.0,12769.0,2013.0,8.947398123658463
tt0383177,Aguner Poroshmoni,movie,"Drama, War",9.1,3501.0,1994.0,8.91085179654852
tt0996994,The War,tvMiniSeries,"Documentary, History, War",9.0,5859.0,2007.0,8.88798672033711
tt0096548,Blackadder Goes Forth,tvSeries,"Comedy, War",8.8,60145.0,1989.0,8.78951232956464
tt0081834,Das Boot,tvMiniSeries,"Drama, War",8.8,35923.0,1985.0,8.782491370157052
tt0055233,The Human Condition III: A Soldier's Prayer,movie,"Drama, History, War",8.8,7886.0,1961.0,8.722222560469298
tt0069628,Seventeen Moments of Spring,tvSeries,"Drama, History, War",8.8,5214.0,1973.0,8.684250457705545
tt0090015,Shoah,movie,"Documentary, History, War",8.7,11046.0,1985.0,8.646254113668505
tt2069688,World War II in Colour,tvMiniSeries,"Documentary, History, War",8.7,7732.0,2009.0,8.623964804783187
tt3638584,Apocalypse la 1ère Guerre mondiale,tvMiniSeries,"Documentary, History, War",8.8,3235.0,2014.0,8.618689969954907
tt0120815,Saving Private Ryan,movie,"Drama, War",8.6,1560505.0,1998.0,8.599627299678248
tt12747876,Once Upon a Time in Iraq,tvMiniSeries,"Documentary, History, War",9.0,1437.0,2020.0,8.595933228197195
tt0116860,"Pretty Village, Pretty Flame",movie,"Drama, History, War",8.6,18347.0,1996.0,8.568736039719576
tt9103932,Greatest Events of WWII in Colour,tvMiniSeries,"Documentary, History, War",8.6,12436.0,2019.0,8.554179027571676
tt0191730,Slozna braca,tvSeries,"Comedy, War",8.9,1640.0,1995.0,8.552766063729564
tt1494191,The Untold History of the United States,tvMiniSeries,"Documentary, History, War",8.6,9925.0,2012.0,8.542881260312495
tt0034583,Casablanca,movie,"Drama, Romance, War",8.5,628318.0,1942.0,8.499115784947623
tt0095327,Grave of the Fireflies,movie,"Animation, Drama, War",8.5,343611.0,1988.0,8.49838369952314
tt8470384,Al Nadam,tvSeries,"Drama, Romance, War",9.1,917.0,2016.0,8.495240437944252
tt0068098,M*A*S*H,tvSeries,"Comedy, Drama, War",8.5,66262.0,1972.0,8.491644785180958
tt0446610,Auschwitz: Inside the Nazi State,tvMiniSeries,"Documentary, History, War",8.6,4718.0,2005.0,8.483122916420019
