Unnamed: 0,product_name,category,categoryRank,noRatings,cost,product_url
0,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",Amazon Devices & Accessories,#1,"256,226",$39.99,https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=cm_cr_arp_d_product_top?ie=UTF8
1,"All-new Ring Video Doorbell (2nd Gen) – 1080p HD video, improved motion detection, easy installation",Amazon Devices & Accessories,#2,"112,689",$89.99 - $199.98,https://www.amazon.com/All-new-Ring-Video-Doorbell-2nd/dp/B0864SF4GC/ref=cm_cr_arp_d_product_top?ie=UTF8
2,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",Amazon Devices & Accessories,#3,"936,447",$29.99,https://www.amazon.com/Echo-Dot/dp/B07FZ8S74R/ref=cm_cr_arp_d_product_top?ie=UTF8
3,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",Amazon Devices & Accessories,#4,"69,684",$54.99,https://www.amazon.com/fire-tv-stick-4k-max-with-alexa-voice-remote/dp/B08MQZXN1X/ref=cm_cr_arp_d_product_top?ie=UTF8
4,Amazon Smart Plug,Amazon Devices & Accessories,#5,"508,565",$24.99,https://www.amazon.com/Amazon-Smart-Plug/dp/B07KTYJ769/ref=cm_cr_arp_d_product_top?ie=UTF8
5,All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa,Amazon Devices & Accessories,#6,"213,937",$49.99 - $77.98,https://www.amazon.com/All-new-Smart-speaker-clock-Alexa/dp/B08DLSLCF3/ref=cm_cr_arp_d_product_top?ie=UTF8
6,Introducing Blink Video Doorbell - P,Amazon Devices & Accessories,#7,"55,172",$49.99 - $279.98,https://www.amazon.com/Introducing-Blink-Video-Doorbell-P/dp/B09DFGMQWJ/ref=cm_cr_arp_d_product_top?ie=UTF8
7,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",Amazon Devices & Accessories,#8,"505,383",$39.99,https://www.amazon.com/Echo-Dot/dp/B07XJ8C8F5/ref=cm_cr_arp_d_product_top?ie=UTF8
8,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, motion detection, Works with Alexa",Amazon Devices & Accessories,#9,"200,207",$34.99 - $84.99,https://www.amazon.com/Blink-Mini-plug-security-detection/dp/B0B15SHYXY/ref=cm_cr_arp_d_product_top?ie=UTF8
9,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",Amazon Devices & Accessories,#10,"12,075",$139.99,https://www.amazon.com/All-new-Kindle-Paperwhite-adjustable-Ad-Supported/dp/B08KTZ8249/ref=cm_cr_arp_d_product_top?ie=UTF8
10,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",Amazon Devices & Accessories,#11,"88,378",$39.99,https://www.amazon.com/Echo-Show-5-2nd-Gen-2021-release/dp/B08J8FFJ8H/ref=cm_cr_arp_d_product_top?ie=UTF8
11,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",Amazon Devices & Accessories,#12,"15,666",$29.99,https://www.amazon.com/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=cm_cr_arp_d_product_top?ie=UTF8
12,Ring Video Doorbell Wired,Amazon Devices & Accessories,#13,"50,594",$64.99 - $104.98,https://www.amazon.com/Ring-Video-Doorbell-Wired/dp/B08T4FH9Y8/ref=cm_cr_arp_d_product_top?ie=UTF8
13,Ring Rechargeable Battery Pack,Amazon Devices & Accessories,#14,"98,318",$34.99,https://www.amazon.com/Ring-Rechargeable-Battery-Pack/dp/B076JKHDQT/ref=cm_cr_arp_d_product_top?ie=UTF8
14,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",Amazon Devices & Accessories,#15,"244,292",$29.99,https://www.amazon.com/fire-tv-stick-lite/dp/B07YNLBS7R/ref=cm_cr_arp_d_product_top?ie=UTF8
15,Ring Chime,Amazon Devices & Accessories,#16,"59,184",$34.99,https://www.amazon.com/Ring-Chime/dp/B09L45VFCN/ref=cm_cr_arp_d_product_top?ie=UTF8
16,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",Amazon Devices & Accessories,#17,"76,777",$59.99,https://www.amazon.com/Ring-Indoor-Compact-Security-Camera/dp/B07Q9VBYV8/ref=cm_cr_arp_d_product_top?ie=UTF8
17,"Certified Refurbished Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",Amazon Devices & Accessories,#18,556,$94.99,https://www.amazon.com/Blink-Outdoor-Camera-System-Wireless/dp/B086DKVS1N/ref=cm_cr_arp_d_product_top?ie=UTF8
18,Ring Chime Pro,Amazon Devices & Accessories,#19,"35,899",$59.99,https://www.amazon.com/Ring-Chime-Pro/dp/B07WML2XTD/ref=cm_cr_arp_d_product_top?ie=UTF8
19,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,Amazon Devices & Accessories,#20,"505,383",$39.99,https://www.amazon.com/Echo-Dot/dp/B084J4KNDS/ref=cm_cr_arp_d_product_top?ie=UTF8
20,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,Amazon Devices & Accessories,#21,"70,545",$14.75,https://www.amazon.com/SanDisk-micro-Memory-Card-Tablets/dp/B013TMNPBQ/ref=cm_cr_arp_d_product_top?ie=UTF8
21,"Insignia 50-inch Class F30 Series LED 4K UHD Smart Fire TV (NS-50F301NA22, 2021 Model)",Amazon Devices & Accessories,#22,"1,280",$239.99,https://www.amazon.com/Insignia-50-inch-Class-Smart-Fire/dp/B08Z265BJH/ref=cm_cr_arp_d_product_top?ie=UTF8
22,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon Devices & Accessories,#23,"21,818",$9.99,https://www.amazon.com/Amazon-Micro-USB-designed-tablets-readers/dp/B0741WGQ36/ref=cm_cr_arp_d_product_top?ie=UTF8
23,Blink Add-On Sync Module 2,Amazon Devices & Accessories,#24,"17,872",$34.99,https://www.amazon.com/Blink-Sync-Module-2/dp/B084RQ6MHJ/ref=cm_cr_arp_d_product_top?ie=UTF8
24,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",Amazon Devices & Accessories,#25,"6,396",$189.99,https://www.amazon.com/Introducing-kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=cm_cr_arp_d_product_top?ie=UTF8
25,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",Amazon Devices & Accessories,#26,"40,448",$129.99,https://www.amazon.com/Echo-Show-8-2nd-Gen-2021-release/dp/B084DCJKSL/ref=cm_cr_arp_d_product_top?ie=UTF8
26,"All-new Fire 7 tablet, 7” display, 16 GB, 30% faster processor, designed for entertainment, (2022 release), Black",Amazon Devices & Accessories,#27,662,$59.99,https://www.amazon.com/Fire-7-Tablet/dp/B096WKKK2K/ref=cm_cr_arp_d_product_top?ie=UTF8
