product_name,category,categoryRank,noRatings,cost,CategoryFactor,CostBenefit
"Yesterday, Today, Tomorrow: The Greatest Hits of Kenny Loggins",CDs & Vinyl,10,982.0,6.99,0.9,126.43776824034336
"Carson Dellosa, Common Core Math 4 Today Workbook, Grade 2, Printable",Digital Educational Resources,4,869.0,7.49,0.96,111.38050734312417
"Spectrum | Spelling Workbook | Grade 6, Printable",Digital Educational Resources,6,990.0,8.99,0.94,103.51501668520577
Military Veterans Challenge Coin Thank You for Your Service Appreciation Gift,Collectible Coins,18,780.0,8.88,0.82,72.02702702702702
"Just Play PJ Masks Pop-A-Wheelie Cat-Car, PJ Masks Vehicle with Lights and Sounds",Toys & Games,29,493.0,5.45,0.71,64.2256880733945
"Adobe Creative Cloud Photography plan 20 GB (Photoshop + Lightroom) | 1-month Subscription with auto-renewal, PC/Mac",Software,6,657.0,9.99,0.94,61.81981981981981
"Carson Dellosa | Interactive Notebook Science Workbook | Grade 1, Printable",Digital Educational Resources,10,504.0,7.49,0.9,60.5607476635514
"AtSKnSK US Military Challenge Coin Veteran Coin - Stand for The Flag, Kneel for The Fallen",Collectible Coins,20,738.0,9.99,0.8,59.09909909909909
"Spectrum | Critical Thinking for Math Workbook | Grade 3, Printable",Digital Educational Resources,27,534.0,7.49,0.73,52.045393858477965
Presidential Dollar Folder: Complete Philadelphia and Denver Mint Collection,Collectible Coins,22,530.0,7.95,0.78,52.0
"Spectrum | Critical Thinking for Math Workbook | Grade 4, Printable",Digital Educational Resources,39,635.0,7.49,0.61,51.71562082777035
Penny Passport Souvenir Collecting Book with Free Pressed Penny,Collectible Coins,11,544.0,9.89,0.89,48.95449949443883
Run&Clash,Apps & Games,5,345.0,6.99,0.95,46.88841201716738
AtSKnSK Put On The Whole Armor of God Challenge Coin Eph 6:13-17 3D Commemorative Collection Item,Collectible Coins,17,491.0,8.88,0.83,45.89301801801801
"Carson Dellosa | Interactive Notebook Science Workbook | Grade 3, Printable",Digital Educational Resources,3,314.0,7.49,0.97,40.6648865153538
Taylor Swift Inspired Parody Birthday Card Birth-TAY 5x7 inches w/Envelope,Handmade Products,42,486.0,6.99,0.58,40.32618025751073
"Carson Dellosa | The 100+ Series Chemistry Workbook | Grades 9–12, Printable",Digital Educational Resources,26,510.0,9.74,0.74,38.74743326488706
1925 Antique US Liberty Half-Dollar Coin - Great Stone Mountain Commemorative Coins - USA Uncirculated Morgan Dollars-Discover History of US Coins,Collectible Coins,9,378.0,8.99,0.91,38.26251390433816
"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Cell Phones & Accessories,1,300.485,7.98,0.99,37.27821428571429
"Spectrum | Language Arts Workbook | Grade K, Printable",Digital Educational Resources,30,467.0,8.99,0.7,36.36262513904338
Trump Copper Round 1oz Pure Copper Coin,Collectible Coins,43,453.0,7.49,0.57,34.473965287049396
"Carson Dellosa | Interactive Notebook Math Workbook | Grade 5, Printable",Digital Educational Resources,6,248.0,7.49,0.94,31.124165554072093
Cats 3D Robots,Apps & Games,7,300.0,9.0,0.93,31.0
Military Veteran Challenge Coin United States We Stand for The Flag We Kneel for The Fallen,Collectible Coins,26,373.0,8.99,0.74,30.703003337041153
7PCS Gold Dollar Bills USD 1/2/5/10/20/50/100 Set of Colored Commemorative Coins with Gold Foil,Collectible Coins,13,277.0,7.99,0.87,30.161451814768462
"Carson Dellosa | Common Core Language Arts 4 Today Workbook | Grade 4, Printable",Digital Educational Resources,11,248.0,7.49,0.89,29.468624833110812
"Carson Dellosa | Interactive Notebook Math Workbook | Grade 4, Printable",Digital Educational Resources,8,239.0,7.49,0.92,29.356475300400533
"Carson Dellosa | Interactive Notebook Language Arts Workbook | Grade 3, Printable",Digital Educational Resources,17,256.0,7.49,0.83,28.36849132176235
Idle Gunners,Apps & Games,6,239.0,7.99,0.94,28.11764705882353
Epic Slingshot 3D,Apps & Games,13,244.0,7.99,0.87,26.568210262828536
"Mark Twain | Interactive Notebook United States Government Resource Book | Grades 5–8, Printable",Digital Educational Resources,5,197.0,7.49,0.95,24.986648865153533
"Carson Dellosa | Interactive Notebook Math Workbook | Grade 3, Printable",Digital Educational Resources,8,201.0,7.49,0.92,24.68891855807744
Squash It 3D,Apps & Games,18,238.0,7.99,0.82,24.425531914893615
Apple Lightning to 3.5 mm Headphone Jack Adapter,Electronics,4,193.488,7.99,0.96,23.247619524405508
Hired gun,Apps & Games,37,252.0,6.99,0.63,22.71244635193133
Battle of Pocket Tanks,Apps & Games,25,227.0,7.99,0.75,21.307884856070086
"Carson Dellosa | Interactive Notebook Math Workbook | Grade 8, Printable",Digital Educational Resources,18,183.0,7.49,0.82,20.034712950600802
Minecraft,Apps & Games,1,129.839,6.99,0.99,18.389214592274676
Gravity Master 3D,Apps & Games,29,206.0,7.99,0.71,18.30538172715895
"JETech Screen Protector for iPhone 11 and iPhone XR, 6.1-Inch, Tempered Glass Film, 2-Pack",Cell Phones & Accessories,35,164.953,5.99,0.65,17.899741235392323
Spin Your Weapon and Shoot Aim,Apps & Games,27,188.0,8.0,0.73,17.155
Stick Invaders,Apps & Games,14,157.0,7.99,0.86,16.898623279098874
Just Snowboard Adventure Party,Apps & Games,26,136.0,5.99,0.74,16.801335559265443
Jet Man 3D,Apps & Games,30,189.0,7.99,0.7,16.55819774718398
Fatty Roll,Apps & Games,22,189.0,9.0,0.78,16.380000000000003
Dice&Fight,Apps & Games,39,208.0,8.0,0.61,15.86
Stumble Guys,Apps & Games,23,186.0,9.99,0.77,14.336336336336336
"Carson Dellosa | Interactive Notebook Language Arts | Grade 4, Printable",Digital Educational Resources,23,133.0,7.49,0.77,13.672897196261681
"JETech Screen Protector for iPhone 11 Pro, for iPhone Xs, for iPhone X, 5.8-Inch, Tempered Glass Film, 2-Pack",Cell Phones & Accessories,24,104.677,5.94,0.76,13.393016835016835
Idle Guns Cut,Apps & Games,38,127.0,5.99,0.62,13.14524207011686
Fury Fight,Apps & Games,24,112.0,6.99,0.76,12.177396280400572
"Carson Dellosa | Common Core Connections Math Workbook | Grade 2, Printable",Digital Educational Resources,41,153.0,7.49,0.59,12.0520694259012
SABRENT 4-Port USB 2.0 Data Hub with Individual LED lit Power Switches [Charging NOT Supported] for Mac & PC (HB-UMLS),Computers & Accessories,2,107.034,8.95,0.98,11.71992402234637
Mace Run,Apps & Games,34,124.0,6.99,0.66,11.708154506437769
Roblox Digital Gift Card - 800 Robux [Includes Exclusive Virtual Item] [Online Game Code],Video Games,4,112.204,9.4,0.96,11.459131914893614
It Ends with Us: A Novel,Kindle Store,20,136.522,9.99,0.8,10.932692692692694
Explosive Fun Cubes,Apps & Games,43,127.0,6.99,0.57,10.356223175965665
Milk Crate Challenge,Apps & Games,41,157.0,9.0,0.59,10.292222222222222
Clean the Pool,Apps & Games,46,146.0,8.0,0.54,9.855
Twerk Star: Run and Jiggle,Apps & Games,12,76.0,6.99,0.88,9.567954220314734
Arrow Jumper 3D,Apps & Games,48,110.0,5.99,0.52,9.54924874791319
"Family Name Sign, Wooden Name Sign, Nursery Name Sign, Family Name Sign, Baby Name Sign, Personalized Name Sign, Girl Boy Crib Name Sign Wood Sign",Handmade Products,30,136.0,9.99,0.7,9.529529529529528
Primos The Truth 22 Big Bucks Hunting DVD,Entertainment Collectibles,3,64.0,6.69,0.97,9.279521674140508
Ailun Screen Protector Compatible for iPhone 11 Pro Max/iPhone Xs Max 3 Pack 6.5 Inch 2019/2018 Release Case Friendly Tempered Glass,Cell Phones & Accessories,30,101.075,7.98,0.7,8.866228070175438
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",Books,21,65.585,5.99,0.79,8.649774624373956
Race: Draw & Win,Apps & Games,3,62.0,6.99,0.97,8.603719599427754
"Neutrogena Makeup Remover Cleansing Face Wipes, Daily Cleansing Facial Towelettes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 Count, 2 Pack",Beauty & Personal Care,2,78.613,8.99,0.98,8.569604004449388
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Books,21,83.862,7.74,0.79,8.559558139534884
The Very Hungry Caterpillar,Books,19,52.107,5.06,0.81,8.341239130434785
Hero Equip,Apps & Games,15,58.0,5.99,0.85,8.230383973288815
Amazon.com Gift Card for Any Amount in a Mini Envelope (Black),Gift Cards,19,98.537,10.0,0.81,7.981497000000002
Amazon.com Gift Card in a Mini Envelope (Navy and Gold),Gift Cards,23,99.278,10.0,0.77,7.644406000000001
"Pokémon Assorted Cards, 50 Pieces",Toys & Games,2,41.923,5.42,0.98,7.580173431734318
RC280 Replacement Remote Applicable for TCL Roku TV with Netflix Sling Hulu Vudu Key 55UP120 32S4610R 50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 48FS3700 55FS3700 65S405 43S405 49S405 40S3800,Electronics,16,62.851,6.97,0.84,7.5745824964132
DNA Run 3D - Human Race Games,Apps & Games,50,122.0,8.99,0.5,6.7853170189098995
Ailun Glass Screen Protector Compatible for iPhone 12/12 Pro 2020 6.1 Inch 3 Pack Case Friendly Tempered Glass,Cell Phones & Accessories,7,57.912,7.98,0.93,6.749142857142857
"Avarelle Pimple Patches (40 Count) Hydrocolloid Acne Cover Patches | Zit Patches for Blemishes, Zits and Breakouts with Tea Tree, Calendula and Cica Oil for Face | Vegan, Cruelty Free Certified, Carbonfree Certified (40 PATCHES)",Amazon Launchpad,18,67.215,8.49,0.82,6.491908127208481
Prison Mike Gift Air Freshener The Office Michael Scott Gift Birthday Gift Car Air Freshener,Handmade Products,27,85.0,10.0,0.73,6.205
"Avarelle Pimple Patches (40 Count) Hydrocolloid Acne Cover Patches & Acne Clearing Device | Zit Patches for Blemishes, Zits and Breakouts with Tea Tree, Calendula and Cica Oil for Face | Vegan, Cruelty Free Certified, Carbonfree Certified (40 PATCHES)",Amazon Launchpad,22,66.627,8.49,0.78,6.121208480565371
Heart Bones,Kindle Store,21,45.949,5.99,0.79,6.060051752921535
Swamp Spirits (Miss Fortune Mysteries Book 23),Kindle Store,7,39.0,5.99,0.93,6.055091819699499
Pennybandz Wearable Souvenir Wristband for Pressed Penny,Collectible Coins,26,65.0,7.97,0.74,6.035131744040151
"Play-Doh Modeling Compound 10-Pack Case of Colors, Non-Toxic, Assorted, 2 oz. Cans, Ages 2 and up, Multicolor (Amazon Exclusive)",Toys & Games,4,49.296,7.99,0.96,5.92292365456821
"JETech Screen Protector for iPhone SE 3/2 (2022/2020 Edition), 4.7-Inch, Tempered Glass Film, 3-Pack",Cell Phones & Accessories,34,61.362,6.99,0.66,5.793836909871246
Fan Defence,Apps & Games,24,52.0,7.0,0.76,5.645714285714286
"Cleaning Gel for Car, Car Cleaning Kit Universal Detailing Automotive Dust Car Crevice Cleaner Auto Air Vent Interior Detail Removal Putty Cleaning Keyboard Cleaner for Car Vents, PC, Laptops, Cameras",Automotive,7,47.795,7.99,0.93,5.563122653316646
"Hasbro Gaming CONNECT 4 - Classic four in a row game - Board Games and Toys for Kids, boys, girls - Ages 6+",Toys & Games,20,60.969,8.77,0.8,5.561596351197264
American Eagle Copper Round - 1oz 0.999% Fine Copper Coin - Collectors Edition,Collectible Coins,37,88.0,9.97,0.63,5.560682046138415
"Mott's Fruit Flavored Snacks, Assorted Fruit, Pouches, 0.8 oz, 40 ct",Grocery & Gourmet Food,13,43.86,7.24,0.87,5.270469613259668
"Amazon Basics Stainless Steel Digital Kitchen Scale with LCD Display, Batteries Included",Kitchen & Dining,16,55.941,8.99,0.84,5.226967741935484
"Sharpie 27145 Pocket Highlighters, Chisel Tip, Assorted Colors, 12-Count",Office Products,15,33.125,5.49,0.85,5.1286429872495445
Dove Deep Moisture Body Wash with Pump For Dry Skin Moisturizing Body Wash Cleanser Transforms Even The Driest Skin In One Shower 34 oz,Beauty & Personal Care,19,54.203,8.99,0.81,4.883696329254728
"TERRO T300 Liquid Ant Baits, 6 Bait Stations",Home & Kitchen,22,35.366,5.97,0.78,4.620683417085427
"Ailun 2 Pack Screen Protector Compatible for iPhone 13 Pro Max [6.7 inch] Display 2021 with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD",Cell Phones & Accessories,5,35.096,7.63,0.95,4.369750982961992
Amooca Car Seat Headrest Hook 4 Pack Hanger Storage Organizer Universal for Handbag Purse Coat fit Universal Vehicle Car,Automotive,6,32.384,6.99,0.94,4.354929899856938
"OHill Cable Clips,16 Pack Black Adhesive Cord Holders, Ideal Cable Cords Management for Organizing Cable Wires-Home, Office, Car, Desk Nightstand",Electronics,28,51.893,8.99,0.72,4.156057842046718
Pirates Story: Invasion,Apps & Games,35,44.0,6.99,0.65,4.091559370529327
"Amazon Brand - Solimo Disinfecting Wipes, Lemon Scent & Fresh Scent, Sanitizes/Cleans/Disinfects/Deodorizes, 75 Count (Pack of 3)",Health & Household,23,39.028,7.37,0.77,4.0775522388059695
"Ailun 2 Pack Screen Protector for iPhone 13 Pro Max [6.7 inch] Display 2021 with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD Case Friendly",Cell Phones & Accessories,4,37.992,8.98,0.96,4.06150556792873
"Ailun Glass Screen Protector Compatible for iPhone 13/13 Pro [6.1 Inch] Display 3 Pack Tempered Glass,Case Friendly",Cell Phones & Accessories,12,33.517,7.89,0.88,3.73827122940431
"ARTIKA Sewing Kit for Adults and Kids - Small Beginner Set w/Multicolor Thread, Needles, Scissors, Thimble & Clips - Emergency Repair and Travel Kits - Sewing Accessories and Supplies","Arts, Crafts & Sewing",8,21.246,5.52,0.92,3.541
Ailun Glass Screen Protector Compatible for iPhone 12 pro Max 2020 6.7 Inch 3 Pack Case Friendly Tempered Glass,Cell Phones & Accessories,46,43.173,6.79,0.54,3.433493372606775
Layla,Books,20,36.147,8.97,0.8,3.2238127090301
The Perfect Marriage: A Completely Gripping Psychological Suspense,Kindle Store,5,26.955,7.99,0.95,3.2049123904881096
"Ailun Screen Protector Compatible for iPhone SE 2020 2nd/2022 3rd Generation, iPhone 8,7,6s,6, 4.7-Inch Tempered Glass 0.25mm Case Friendly 3 Pack Clear",Cell Phones & Accessories,42,36.762,6.98,0.58,3.0547220630372487
"Spectrum | Math Workbook | Grade 4, Printable",Digital Educational Resources,28,36.0,8.99,0.72,2.883203559510567
