product_name,category,categoryRank,noRatings,cost,CategoryFactor,CostBenefit
Hopeless Romantic: (McCabe Brothers Book 1),Kindle Store,30,818.0,3.99,0.7,143.50877192982452
Rescue Monthly Whole Home Data and Image Recovery [Subscription],Software,4,456.0,4.99,0.96,87.72745490981963
Real Bad Things,Kindle Store,26,471.0,4.99,0.74,69.84769539078157
Chosen By A Sinner,Kindle Store,9,173.0,2.99,0.91,52.65217391304348
Flor's Fiasco (Icehome Book 17),Kindle Store,14,229.0,3.99,0.86,49.35839598997494
1808 Royal George III of Scotland British Old Coin-Great UK Shilling Old Coin - Uncirculated Commemorative Coins-Best Discover History of Coins,Collectible Coins,16,174.0,4.89,0.84,29.88957055214724
Blue-Red Tactics,Apps & Games,44,159.0,4.99,0.56,17.8436873747495
Things We Never Got Over,Books,15,60.524,3.0,0.85,17.148466666666668
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Books,18,75.993,4.07,0.82,15.31062899262899
When Breath Becomes Air,Kindle Store,23,28.082,1.99,0.77,10.865899497487437
Crazy Going Ball Slide Ball,Apps & Games,11,24.0,1.99,0.89,10.733668341708542
I Love You to the Moon and Back,Books,24,57.899,4.31,0.76,10.209568445475638
"Soft Tape Measure Double Scale Body Sewing Flexible Ruler for Weight Loss Medical Body Measurement Sewing Tailor Craft Vinyl Ruler, Has Centimetre Scale on Reverse Side 60-inch（White）","Arts, Crafts & Sewing",15,50.075,4.49,0.85,9.47967706013363
Geometry Dash,Apps & Games,8,18.958,1.99,0.92,8.764502512562814
"Yardley London Moisturizing Bath Soap Bar Oatmeal & Almond, Helps Soothe Dry Skin and Gently Exfoliates With Natural Oatmeal, 4.0 oz Bath Bar, 1 Soap Bar",Beauty & Personal Care,8,6.457,0.69,0.92,8.609333333333334
Royally Not Ready,Kindle Store,25,50.0,4.99,0.75,7.51503006012024
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Kindle Store,11,29.87,3.99,0.89,6.662731829573935
Scary Teacher 3D,Apps & Games,4,6.66,0.99,0.96,6.458181818181818
"Bright Starts Oball Shaker Rattle Toy, Ages Newborn +",Toys & Games,23,18.892,2.39,0.77,6.086543933054393
RVD Spare Parts Kits,Amazon Devices & Accessories,32,15.388,1.99,0.68,5.258211055276383
The Brighter the Light,Kindle Store,24,26.058,4.99,0.76,3.9687535070140276
Epic Life: How to Build Collaborative Global Companies While Putting Your Loved Ones First,Kindle Store,4,4.0,0.99,0.96,3.878787878787879
"Oxford 3 X 5 Inches Ruled Index Card, 300 Count, White (10013)",Office Products,21,10.333,2.29,0.79,3.5646593886462887
The Third Grave: A Riveting New Thriller (Savannah Book 4),Kindle Store,19,4.259,0.99,0.81,3.484636363636364
Real Simple,Magazine Subscriptions,1,16.856,5.0,0.99,3.3374880000000005
The Guilty Husband: An utterly gripping psychological thriller with a jaw-dropping twist!,Kindle Store,17,12.022,2.99,0.83,3.337210702341137
"Kindergarten, Here I Come!",Books,22,17.009,3.99,0.78,3.3250676691729324
"Expo 81505 Block Eraser Dry Erase Whiteboard Board Eraser, Soft Pile, 5 1/8 W x 1 1/4 H - Pack of 1, Black",Office Products,47,17.004,2.97,0.53,3.0343838383838384
Five Nights at Freddy's,Apps & Games,20,11.304,2.99,0.8,3.0244816053511707
Better Homes & Gardens,Magazine Subscriptions,2,13.535,5.0,0.98,2.65286
"STEM, STREAM, STEAM Bulletin Board Set - 6 letters - 6 definitions - 2 styles",Digital Educational Resources,12,9.0,3.95,0.88,2.0050632911392405
The Last Lie Told (Finley O’Sullivan Book 1),Kindle Store,17,11.733,4.99,0.83,1.9515811623246493
Toca Kitchen 2,Apps & Games,21,6.684,2.99,0.79,1.7660066889632104
"Carson Dellosa | Skill Builders Geometry Workbook | Grades 6–8, Printable",Digital Educational Resources,36,6.0,2.24,0.64,1.714285714285714
HP Instant Ink $5 Prepaid Code - The Smart Ink and Toner Subscription Service with big savings passed on to you,Software,9,8.544,5.0,0.91,1.5550080000000002
One Moment Please: A Surprise Pregnancy Standalone (Wait With Me Book 3),Kindle Store,19,8.496,4.99,0.81,1.3791102204408818
Pen Pal,Kindle Store,6,5.574,3.99,0.94,1.313172932330827
Tease,Kindle Store,13,7.153,4.99,0.87,1.2471162324649296
"Carson Dellosa | Skill Builders Reading Comprehension Workbook | Grade 6, Printable",Digital Educational Resources,29,3.496,2.24,0.71,1.1081071428571427
Sonic The Hedgehog 2,Apps & Games,49,6.43,2.99,0.51,1.0967558528428094
Toca Life: Hospital,Apps & Games,2,4.169,3.99,0.98,1.0239649122807015
The Night Before Kindergarten,Books,20,5.011,3.99,0.8,1.0047117794486216
Blind Side: A Fake Dating Sports Romance,Kindle Store,29,6.487,4.99,0.71,0.9229999999999999
TV Guide Magazine,Magazine Subscriptions,13,5.107,5.0,0.87,0.8886179999999999
PE Poster: Physical Education Expectations,Digital Educational Resources,2,2.0,2.5,0.98,0.784
Fractured Freedom: A Brother's Best Friend Second Chance Romance,Kindle Store,10,4.216,4.99,0.9,0.7604008016032064
The Scarpetta Factor: Scarpetta (Book 17) (Kay Scarpetta),Kindle Store,20,1.86,1.99,0.8,0.7477386934673368
"Carson Dellosa | Trace with Me: Pre-Handwriting Practice Activity Book | Grades Preschool-2, Printable",Digital Educational Resources,20,3.772,4.49,0.8,0.6720712694877505
IEP Data Collection: Editable Forms to Track Progress on IEP Goals,Digital Educational Resources,47,5.0,5.0,0.53,0.53
Toddler Favorites,CDs & Vinyl,26,3.396,5.0,0.74,0.5026079999999999
Does It Hurt?: An Enemies to Lovers Romance,Kindle Store,15,2.792,4.99,0.85,0.4755911823647294
Mercy (Salacious Players' Club),Kindle Store,12,2.652,4.99,0.88,0.467687374749499
Toca Pet Doctor,Apps & Games,45,3.3,3.99,0.55,0.45488721804511273
Travel + Leisure,Magazine Subscriptions,20,2.44,5.0,0.8,0.39039999999999997
Bloons TD 6,Apps & Games,23,2.5,4.99,0.77,0.38577154308617234
Flawless: A Small Town Enemies to Lovers Romance,Kindle Store,6,1.961,4.99,0.94,0.36940681362725447
Toca Life: Neighborhood,Apps & Games,17,1.689,3.99,0.83,0.35134586466165413
Toca Life: Vacation,Apps & Games,16,1.58,3.99,0.84,0.3326315789473684
Rich Blood (Jason Rich Book 1),Kindle Store,4,1.708,4.99,0.96,0.3285931863727454
Condé Nast Traveler,Magazine Subscriptions,12,1.734,5.0,0.88,0.305184
Fling,Kindle Store,27,1.643,3.99,0.73,0.3005989974937343
Toca Life: Office,Apps & Games,28,1.619,3.99,0.72,0.2921503759398496
Toca Life: School,Apps & Games,28,1.473,3.99,0.72,0.2658045112781955
August Door Set: Back to School Gnomes,Digital Educational Resources,16,1.0,3.25,0.84,0.25846153846153846
Behavior Clip Chart Camping Theme,Digital Educational Resources,28,1.0,3.5,0.72,0.2057142857142857
Story Elements Interactive Notebook Activity Packet,Digital Educational Resources,22,1.0,4.5,0.78,0.17333333333333334
