id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,557603.0,2001.0,9.398585855919606
tt10680606,Minecraft Epic,tvSeries,"Action, Adventure, Comedy",9.5,4048.0,2019.0,9.310820235668086
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,401709.0,2005.0,9.29810184580619
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2414209.0,2011.0,9.199694716498632
tt6758316,Formula 1,tvSeries,"Action, Comedy, Drama",9.4,3664.0,1950.0,9.198904602350863
tt29415777,Jithender Reddy,movie,Action,9.5,2356.0,2024.0,9.188414055457912
tt9471962,Halka,tvSeries,"Action, Crime, Drama",9.2,24246.0,2019.0,9.169920536830135
tt2147999,Devon Ke Dev... Mahadev,tvSeries,"Action, Drama, Fantasy",9.3,5230.0,2011.0,9.160995218623146
tt33175825,Attack on Titan the Movie: The Last Attack,movie,"Action, Adventure, Animation",9.2,14343.0,2024.0,9.149520802288892
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,595780.0,2013.0,9.098806794110825
tt1355642,Fullmetal Alchemist: Brotherhood,tvSeries,"Action, Adventure, Animation",9.1,217774.0,2009.0,9.096738121087276
tt12423408,In Search of the Automatic House,tvSeries,"Action, Adventure, Comedy",9.3,3022.0,2013.0,9.067449788181175
tt0259534,Ramayana: The Legend of Prince Rama,movie,"Action, Adventure, Animation",9.1,16321.0,1993.0,9.05710511188314
tt13854248,The Legend of Hanuman,tvSeries,"Action, Adventure, Animation",9.1,13212.0,2021.0,9.047205311782529
tt2298792,Alpha Bravo Charlie,tvSeries,Action,9.4,1893.0,1998.0,9.033412060884034
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,3000297.0,2008.0,8.999771609913303
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9.0,386448.0,2021.0,8.998227864390929
tt0388629,One Piece,tvSeries,"Action, Adventure, Animation",9.0,288352.0,1999.0,8.997625533174489
tt2098220,Hunter x Hunter,tvSeries,"Action, Adventure, Animation",9.0,159715.0,2011.0,8.995716196100755
tt0103359,Batman: The Animated Series,tvSeries,"Action, Adventure, Animation",9.0,125893.0,1992.0,8.994567686243757
tt3109706,Al-Zeer Salem,tvSeries,"Action, Biography, Drama",9.2,3323.0,2000.0,8.994221874657297
tt14986406,Bleach: Thousand-Year Blood War,tvSeries,"Action, Adventure, Animation",9.0,59234.0,2022.0,8.988481044072788
tt1114271,Thursday,movie,"Action, Adventure, Crime",9.1,5166.0,2006.0,8.968903733644689
tt0213338,Cowboy Bebop,tvSeries,"Action, Adventure, Animation",8.9,152033.0,1998.0,8.89567017804627
tt0096633,Legend of the Galactic Heroes,tvSeries,"Action, Animation, Drama",9.0,5951.0,1988.0,8.889646176332116
tt1909015,Undercover,tvSeries,"Action, Crime, Drama",8.9,28050.0,2011.0,8.876707151613353
tt0158417,Mahabharat,tvSeries,"Action, Adventure, Drama",8.9,25221.0,1988.0,8.87412098724578
tt10709628,Astartes,tvMiniSeries,"Action, Animation, Fantasy",9.2,1990.0,2018.0,8.872255560258976
tt4266402,Tiflisi,tvSeries,"Action, History, Thriller",9.1,2583.0,2014.0,8.849754663976931
tt0075143,The Message,movie,"Action, Adventure, Biography",8.9,11290.0,1976.0,8.842904386095977
tt3428202,Dhuwan,tvMiniSeries,"Action, Drama, Thriller",9.4,1156.0,1994.0,8.842475445245542
tt0237376,Kireedam,movie,"Action, Drama",8.9,9158.0,1989.0,8.829977992462826
tt10710138,Dragon Ball Z Abridged,tvSeries,"Action, Animation, Comedy",9.1,2146.0,2008.0,8.804283889822221
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2666425.0,2010.0,8.799762440077274
tt0214341,Dragon Ball Z,tvSeries,"Action, Adventure, Animation",8.8,160559.0,1996.0,8.796060781473608
tt10233448,Vinland Saga,tvSeries,"Action, Adventure, Animation",8.8,96062.0,2019.0,8.793423062001251
tt0121220,Dragon Ball Z,tvSeries,"Action, Adventure, Animation",8.8,95309.0,1989.0,8.793371240949089
tt16026746,X-Men '97,tvSeries,"Action, Adventure, Animation",8.8,43410.0,2024.0,8.7854932046766
tt0481256,Fighting Spirit,tvSeries,"Action, Animation, Comedy",8.8,13376.0,2000.0,8.753538889257237
tt13661118,Not Me,tvMiniSeries,"Action, Crime, Romance",8.8,12451.0,2021.0,8.750157573172498
tt33428606,Solo Leveling: ReAwakening,movie,"Action, Adventure, Animation",8.8,8992.0,2024.0,8.731521214465728
tt15248880,Adventure Time: Fionna & Cake,tvSeries,"Action, Adventure, Animation",8.8,8724.0,2023.0,8.729478209398025
tt5141800,Nirvana in Fire,tvSeries,"Action, Drama, Fantasy",8.9,3176.0,2015.0,8.708035736542195
tt30217930,Usha Parinayam,movie,"Action, Romance",9.0,2052.0,2024.0,8.70346289702399
tt36203068,Anaganaga Australia Lo,movie,"Action, Comedy, Crime",9.0,2052.0,2025.0,8.70346289702399
tt32130925,Nenu Keerthana,movie,"Action, Comedy, Drama",9.0,2050.0,2024.0,8.7032060437516
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2142402.0,1999.0,8.69971642866278
