id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0795176,Planet Earth,tvMiniSeries,"Documentary, Family",9.4,226671.0,2006.0,9.396523609725564
tt7678620,Bluey,tvSeries,"Animation, Family",9.3,37226.0,2018.0,9.279645264906565
tt0383795,The Joy of Painting,tvSeries,"Documentary, Family",9.3,6617.0,1983.0,9.189034722952654
tt10530900,Gullak,tvSeries,"Comedy, Drama, Family",9.1,26114.0,2019.0,9.073033130664786
tt0989831,Jibon Theke Neya,movie,"Drama, Family",9.3,2301.0,1970.0,9.001954201180641
tt0268093,Ramayan,tvSeries,"Adventure, Drama, Family",9.0,25760.0,1987.0,8.973661660902511
tt5182866,Reply 1988,tvSeries,"Comedy, Drama, Family",9.0,15206.0,2015.0,8.955687213386515
tt3062514,Khawatir,tvSeries,"Documentary, Family, Reality-TV",9.1,4493.0,2005.0,8.950337280097315
tt7923710,My Mister,tvSeries,"Drama, Family",9.0,12181.0,2018.0,8.944911797027528
tt2110659,De'ah Da'iah,tvSeries,"Comedy, Family, Fantasy",9.5,1159.0,2008.0,8.925389813132892
tt11170862,Cosmos: Possible Worlds,tvMiniSeries,"Animation, Documentary, Family",9.0,8174.0,2020.0,8.918736245111164
tt8595766,Yeh Meri Family,tvSeries,"Comedy, Drama, Family",8.9,27052.0,2018.0,8.875855983121177
tt0831933,Aaj Robibar,tvMiniSeries,"Comedy, Drama, Family",9.3,1433.0,1996.0,8.849056001786314
tt32828209,Are You Sure?!,tvMiniSeries,"Adventure, Documentary, Family",8.9,8355.0,2024.0,8.823450517183938
tt12187604,Thanamalvila Kollek,tvSeries,Family,9.2,1531.0,2020.0,8.788213829621474
tt10534500,#Home,movie,"Drama, Family",8.8,16500.0,2021.0,8.762199579630195
tt0376364,31 minutos,tvSeries,"Comedy, Family, Fantasy",9.1,1703.0,2002.0,8.737514146290744
tt1380596,Nature's Great Events,tvMiniSeries,"Documentary, Family",8.9,3408.0,2009.0,8.720180734939307
tt5311546,Natsamrat,movie,"Drama, Family",8.8,7538.0,2016.0,8.718751154934262
tt30326556,Paagal vs Kadhal,movie,Family,9.0,2060.0,2024.0,8.704485879699199
tt33131012,Wedding Diaries,movie,"Drama, Family, Fantasy",9.0,2029.0,2024.0,8.70048197334897
tt21288778,Gandhada Gudi,movie,"Adventure, Documentary, Family",8.9,2992.0,2022.0,8.697170948945692
tt15964372,Aparajito,movie,"Biography, Drama, Family",8.8,5493.0,2022.0,8.689864873960788
