id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt7865962,Run BTS!,tvSeries,Game-Show,9.2,3418.0,2015.0,8.999538415834223
tt4934214,Taskmaster,tvSeries,"Comedy, Game-Show",9.0,24135.0,2015.0,8.971907139256475
tt2185037,Running Man,tvSeries,"Comedy, Game-Show, Reality-TV",9.1,3844.0,2010.0,8.92666408847732
tt33094114,India's Got Latent,tvSeries,"Comedy, Game-Show, Reality-TV",9.1,3662.0,2024.0,8.91861840219904
tt11011104,Game Changer,tvSeries,"Comedy, Game-Show",9.2,1566.0,2019.0,8.796111098642433
tt8641686,Mortimer & Whitehouse: Gone Fishing,tvSeries,"Comedy, Documentary, Game-Show",9.0,2184.0,2018.0,8.719485368408694
tt8595350,BTS Gayo,tvSeries,Game-Show,9.1,1238.0,2015.0,8.62491834002835
tt23743442,The Traitors UK,tvSeries,"Game-Show, Reality-TV",8.7,6591.0,2022.0,8.611299672266048
tt0380136,QI,tvSeries,"Comedy, Game-Show",8.6,34809.0,2003.0,8.583412306234242
tt7017872,Movie Trivia Schmoedown,tvSeries,Game-Show,9.2,934.0,2014.0,8.582148160119397
tt1877368,The Great British Baking Show,tvSeries,"Game-Show, Reality-TV",8.6,14128.0,2010.0,8.559567856747233
tt0163507,Whose Line Is It Anyway?,tvSeries,"Comedy, Game-Show",8.5,47893.0,1998.0,8.488457442162785
tt1353056,RuPaul's Drag Race,tvSeries,"Game-Show, Reality-TV",8.5,24479.0,2009.0,8.477532652398029
tt0497294,High Stakes Poker,tvSeries,"Game-Show, Reality-TV, Sport",8.9,1267.0,2006.0,8.467891713645113
tt2301351,RuPaul's Drag Race All Stars,tvSeries,"Game-Show, Reality-TV",8.5,10324.0,2012.0,8.447482070776003
tt9780442,RuPaul's Drag Race UK,tvSeries,"Game-Show, Reality-TV",8.5,5245.0,2019.0,8.399019395897973
tt6103712,Australian Survivor,tvSeries,"Adventure, Game-Show, Reality-TV",8.7,1567.0,2016.0,8.3672523302423
tt2919910,Whose Line Is It Anyway?,tvSeries,"Comedy, Game-Show",8.4,10080.0,2013.0,8.348747727538683
tt23030000,Jet Lag: The Game,tvSeries,"Adventure, Comedy, Game-Show",9.4,488.0,2022.0,8.343912657325891
tt12305222,Puppet History,tvSeries,"Comedy, Game-Show, History",9.3,535.0,2020.0,8.339046290960255
tt13606528,Drag Race España,tvSeries,"Game-Show, Reality-TV",8.5,3178.0,2021.0,8.338290007280316
tt4803766,Alone,tvSeries,"Documentary, Game-Show, Reality-TV",8.4,8288.0,2015.0,8.338001960339588
tt33040785,Culinary Class Wars,tvSeries,"Game-Show, Reality-TV",8.5,3055.0,2024.0,8.332288097472071
tt0220265,Iron Chef,tvSeries,"Game-Show, Reality-TV",8.6,1658.0,1993.0,8.296558557653855
