id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,557603.0,2001.0,9.398585855919606
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,938309.0,2019.0,9.299187062370573
tt9471404,The Chosen,tvSeries,"Drama, History",9.2,51214.0,2017.0,9.185679924523972
tt0071075,The World at War,tvSeries,"Documentary, History, War",9.2,32822.0,1973.0,9.17771841102211
tt14734548,9/11: One Day in America,tvMiniSeries,"Documentary, History",9.3,5055.0,2021.0,9.15641753011337
tt5622316,The Chosen,tvSeries,"Drama, History",9.1,55450.0,2017.0,9.087233710083154
tt1877514,The Vietnam War,tvMiniSeries,"Documentary, History, War",9.1,31074.0,2017.0,9.07730197411746
tt0108700,Baseball,tvMiniSeries,"Documentary, History, Sport",9.2,4943.0,1994.0,9.058305027878207
tt0389593,Chanakya,tvSeries,"Drama, History",9.3,2884.0,1990.0,9.057239183907871
tt2063241,Farouk Omar,tvSeries,"Biography, Drama, History",9.1,9774.0,2012.0,9.02911419864671
tt26471411,When Life Gives You Tangerines,tvSeries,"Drama, History, Romance",9.2,3658.0,2025.0,9.011820973965392
tt0108052,Schindler's List,movie,"Biography, Drama, History",9.0,1513622.0,1993.0,8.999547324231576
tt8420184,The Last Dance,tvMiniSeries,"Biography, Documentary, History",9.0,164845.0,2020.0,8.995849299562837
tt0388189,Kurtulus,tvMiniSeries,"Drama, History, War",9.2,2981.0,1994.0,8.972500850315567
tt0098769,The Civil War,tvMiniSeries,"Documentary, History, War",9.0,21111.0,1990.0,8.967931808845224
tt1508238,Apocalypse: The Second World War,tvMiniSeries,"Documentary, History, War",9.0,16436.0,2009.0,8.958951946991462
tt3109682,The Palestinian Alienation,tvSeries,"Drama, History, War",9.4,1524.0,2004.0,8.957545011229637
tt3212600,Mahabharat,tvSeries,"Drama, History, War",9.0,12769.0,2013.0,8.947398123658463
tt16747572,The Silence of Swastika,movie,"Documentary, History",9.0,10613.0,2021.0,8.936966772904935
tt5961444,Upanishad Ganga,tvSeries,"Drama, History, Short",9.5,1187.0,2012.0,8.936516428092974
tt0996994,The War,tvMiniSeries,"Documentary, History, War",9.0,5859.0,2007.0,8.88798672033711
tt0253828,Tosun Pasha,movie,"Comedy, History",8.9,25444.0,1976.0,8.87434551433772
tt0078588,Connections,tvMiniSeries,"Documentary, History",9.3,1530.0,1978.0,8.873506291236692
tt13868972,Rocket Boys,tvSeries,"Drama, History",8.9,19274.0,2022.0,8.866241885784182
tt4266402,Tiflisi,tvSeries,"Action, History, Thriller",9.1,2583.0,2014.0,8.849754663976931
tt6244192,Leah Remini: Scientology and the Aftermath,tvSeries,"Documentary, History, Mystery",8.9,6610.0,2016.0,8.804003895038935
tt0253779,The Foster Brothers,movie,"Comedy, History",8.8,21711.0,1976.0,8.771165350706529
tt0074006,"I, Claudius",tvMiniSeries,"Biography, Drama, History",8.8,20831.0,1976.0,8.769962197962183
tt0055233,The Human Condition III: A Soldier's Prayer,movie,"Drama, History, War",8.8,7886.0,1961.0,8.722222560469298
tt15676170,Atatürk 1881-1919,tvMiniSeries,"Biography, Drama, History",8.8,7782.0,2024.0,8.721216609255372
tt0386950,Air Crash Investigation,tvSeries,"Crime, Documentary, History",8.8,6356.0,2003.0,8.704233220713899
tt26228190,My Dearest,tvSeries,"Drama, History, Romance",8.9,3065.0,2023.0,8.701625377563913
tt14090476,Sarsenapati Hambirrao,movie,"Action, Drama, History",8.9,3018.0,2022.0,8.698780212091071
tt1408430,30 for 30,tvSeries,"Biography, Documentary, History",8.8,5826.0,2009.0,8.695891989321682
tt0069628,Seventeen Moments of Spring,tvSeries,"Drama, History, War",8.8,5214.0,1973.0,8.684250457705545
tt0424754,The Rose and the Thorn,tvSeries,"Drama, History",8.8,4663.0,2004.0,8.671292717395865
tt0253614,"Saban, Son of Saban",movie,"Comedy, History",8.7,19290.0,1977.0,8.668919267227093
