id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt2400629,Coke Studio Pakistan,tvSeries,Music,9.6,1340.0,2008.0,9.074235619150995
tt0111893,The Beatles Anthology,tvMiniSeries,"Documentary, Music",9.1,9607.0,1995.0,9.02791432749062
tt8139230,BTS: Burn the Stage,tvSeries,"Documentary, Music",9.1,3029.0,2018.0,8.883699134739185
tt9735318,The Beatles: Get Back,tvMiniSeries,"Biography, Documentary, Music",8.9,31845.0,2021.0,8.879460589179617
tt0353049,Chappelle's Show,tvSeries,"Comedy, Music",8.8,75742.0,2003.0,8.791664619610565
tt10850838,Bring The Soul: Docu-Series,tvMiniSeries,"Documentary, Music",9.4,916.0,2019.0,8.7285980893808
tt0088178,Stop Making Sense,movie,"Documentary, Music",8.7,22483.0,1984.0,8.673283033815075
tt8737152,Toma,movie,"Biography, Drama, Music",8.7,12921.0,2021.0,8.653900057285465
tt0086231,Sagara Sangamam,movie,"Drama, Music, Musical",8.8,3713.0,1983.0,8.640509253530324
tt0062588,Mister Rogers' Neighborhood,tvSeries,"Family, Fantasy, Music",8.7,9953.0,1968.0,8.640501640719
tt5574940,The New Edition Story,tvMiniSeries,"Biography, Drama, Music",8.8,3386.0,2017.0,8.626201030184482
tt10110350,Nouba,tvSeries,"Crime, Drama, Music",8.9,1897.0,2019.0,8.594157121995567
tt4288182,Atlanta,tvSeries,"Comedy, Drama, Music",8.6,93617.0,2016.0,8.593803557405751
tt0079889,Sankarabharanam,movie,"Drama, Music, Romance",8.8,2636.0,1980.0,8.581175390335904
tt16899584,The Beatles: Get Back - The Rooftop Concert,movie,"Documentary, Music",8.9,1752.0,2022.0,8.572104801105143
tt9814458,Bandish Bandits,tvSeries,"Drama, Music, Romance",8.6,19725.0,2020.0,8.570891851232107
tt0205306,A Nameless Band,movie,"Comedy, Drama, Music",8.8,2367.0,1981.0,8.558759617297198
tt9448868,BTS World Tour: Love Yourself in Seoul,movie,"Documentary, Music",8.8,2300.0,2018.0,8.55244343689818
tt3893538,Sonic Highways,tvMiniSeries,"Documentary, Music",8.7,3812.0,2014.0,8.550749878413765
tt13679628,"McCartney 3,2,1",tvMiniSeries,"Biography, Documentary, Music",8.7,3776.0,2021.0,8.54941827881597
tt31324295,Lovely Runner,tvSeries,"Comedy, Fantasy, Music",8.6,10444.0,2024.0,8.545651009532135
tt0069090,Pink Floyd: Live at Pompeii,movie,"Documentary, Music",8.6,9933.0,1972.0,8.542926094488074
tt2414166,Led Zeppelin: Celebration Day,movie,"Documentary, Music",8.7,2780.0,2012.0,8.50006671767767
tt9708550,Country Music,tvMiniSeries,"Documentary, Music",8.8,1851.0,2019.0,8.499764338873195
tt2582802,Whiplash,movie,"Drama, Music",8.5,1063383.0,2014.0,8.499477458350668
tt0253474,The Pianist,movie,"Biography, Drama, Music",8.5,962107.0,2002.0,8.499422467912439
tt0863046,Flight of the Conchords,tvSeries,"Comedy, Music, Musical",8.5,68036.0,2007.0,8.491861816458341
tt10709114,Immediate Family,movie,"Documentary, Music",8.7,2655.0,2022.0,8.491490307145655
tt33312360,The Tragically Hip: No Dress Rehearsal,tvSeries,"Biography, Documentary, Music",9.4,602.0,2024.0,8.48374303719215
tt29354040,Renaissance: A Film by Beyoncé,movie,"Documentary, Music",8.6,3652.0,2023.0,8.451266365385434
tt3762198,People Just Do Nothing,tvSeries,"Comedy, Music",8.5,8597.0,2014.0,8.437240600160619
tt0216000,Mirza Ghalib,tvSeries,"Biography, Drama, Music",9.2,697.0,1988.0,8.428977777220126
tt22010428,BTS: Permission to Dance on Stage - LA,movie,"Documentary, Music",8.5,6423.0,2022.0,8.4168217232898
tt3970482,Roger Waters: The Wall,movie,"Documentary, Music",8.5,5445.0,2014.0,8.40256009029145
tt0086879,Amadeus,movie,"Biography, Drama, Music",8.4,446321.0,1984.0,8.398813432654896
tt0221300,Jazz,tvMiniSeries,"Documentary, History, Music",8.6,2603.0,2001.0,8.396751486730412
tt23871680,BTS Monuments: Beyond the Star,tvMiniSeries,"Documentary, Music",9.0,863.0,2023.0,8.38921814173123
tt0770802,Samsara,movie,"Documentary, Music",8.4,38932.0,2011.0,8.386479108852097
tt0965382,Tom Petty and the Heartbreakers: Runnin' Down a Dream,movie,"Documentary, Music",8.6,2256.0,2007.0,8.368708848915484
tt0380275,Concert for George,movie,"Documentary, Music",8.6,2212.0,2003.0,8.364590350069786
tt0924651,The Graham Norton Show,tvSeries,"Comedy, Music, Talk-Show",8.4,13746.0,2007.0,8.362163709748122
tt0184756,Mr. Muhsin,movie,"Comedy, Drama, Music",8.4,12272.0,1987.0,8.3577130919338
tt0437729,The Late Late Show with Craig Ferguson,tvSeries,"Comedy, Music, Talk-Show",8.4,11697.0,2005.0,8.355679387338778
tt0118521,U2: Zoo TV Live from Sydney,movie,"Documentary, Music",8.8,1149.0,1994.0,8.350072979419348
tt0155124,Rudra Veena,movie,"Drama, Music",8.6,2066.0,1988.0,8.34980763656879
tt26675252,Louis Tomlinson: All of Those Voices,movie,"Biography, Documentary, Music",8.6,2059.0,2023.0,8.34905209448768
tt14599622,Luke Bryan: My Dirt Road Diary,tvSeries,"Biography, Documentary, Music",8.6,2014.0,2021.0,8.344083922139216
tt1094594,Sigur Rós: Heima,movie,"Documentary, Music",8.4,8392.0,2007.0,8.338747284131598
tt6481232,Scream for Me Sarajevo,movie,"Documentary, Music, War",8.7,1420.0,2017.0,8.33811956820872
tt32260498,GHOST: Rite Here Rite Now,movie,Music,8.6,1947.0,2024.0,8.33631131234018
