id,title,type,genres,averageRating,numVotes,releaseYear,weightedRating
tt12511606,1pm Daily Update,tvSeries,News,9.3,1830.0,2020.0,8.934754789383648
tt3530232,Last Week Tonight with John Oliver,tvSeries,"Comedy, News, Talk-Show",8.8,99615.0,2014.0,8.793657035414848
tt12313750,Weather Report,tvSeries,"Comedy, News",9.2,1225.0,2005.0,8.703303743276576
tt2782710,Vice,tvSeries,"Documentary, News",8.8,4403.0,2013.0,8.66411470506702
tt9566030,Pew News,tvSeries,"Comedy, News",8.7,14747.0,2018.0,8.659509713116249
tt12054924,Some Good News,tvSeries,"Comedy, News, Talk-Show",9.0,1253.0,2020.0,8.54676108136405
tt3246616,Pradhanmantri,tvSeries,"History, News",9.2,741.0,2013.0,8.46290275502244
tt0458254,The Colbert Report,tvSeries,"Comedy, News, Talk-Show",8.4,39357.0,2005.0,8.386624160819428
tt0133302,Frontline,tvSeries,"Documentary, News",8.6,2428.0,1983.0,8.383514237075714
tt8595740,Povesti COOL,tvSeries,"Biography, News, Talk-Show",8.5,3025.0,2018.0,8.330756015536675
tt1169475,Game One,tvSeries,News,8.9,880.0,2006.0,8.321073533821284
tt0135733,Match of the Day,tvSeries,"News, Sport",8.5,2770.0,1964.0,8.316508007600675
tt21818816,While We Watched,movie,"Biography, Documentary, News",8.5,2626.0,2022.0,8.30734930849998
tt0115147,The Daily Show,tvSeries,"Comedy, News, Talk-Show",8.3,48783.0,1996.0,8.289723150667234
tt8080054,Patriot Act with Hasan Minhaj,tvSeries,"Comedy, News, Talk-Show",8.3,8072.0,2018.0,8.23950339155233
tt2930136,Hanzawa Naoki,tvSeries,"Comedy, Drama, News",8.4,2560.0,2013.0,8.21202651827685
tt5490466,Barely Speaking with Arnub,tvSeries,"Comedy, News, Talk-Show",8.5,1526.0,2014.0,8.188628994410331
tt5929776,Before the Flood,movie,"Documentary, News",8.2,29272.0,2016.0,8.1838103266067
tt0446622,Hard Knocks,tvMiniSeries,"Documentary, News, Reality-TV",8.3,3492.0,2001.0,8.165636564922005
tt1819821,Basta,tvSeries,"Comedy, News",8.6,1050.0,2011.0,8.155617077939223
tt1618448,Racing Extinction,movie,"Adventure, Documentary, News",8.2,8332.0,2015.0,8.14434905773745
tt1778338,The Culture High,movie,"Documentary, News",8.2,3780.0,2014.0,8.081629798222936
tt0765621,Holmes on Homes,tvSeries,News,8.7,703.0,2001.0,8.068402032247858
tt2593392,Alive Inside: A Story of Music and Memory,movie,"Documentary, Music, News",8.2,3290.0,2014.0,8.065286772336556
tt14622282,Kino+,tvSeries,"News, Talk-Show",9.5,287.0,2014.0,8.007697353520955
tt1789083,The Weight of Chains,movie,"Documentary, History, News",8.1,4605.0,2010.0,8.007031816410864
tt5556434,Zondag met Lubach,tvSeries,"Comedy, News, Talk-Show",8.4,1089.0,2014.0,8.00690115357748
tt2865822,All the World in a Design School,movie,"Documentary, Drama, News",8.3,1310.0,2015.0,7.978778046540754
tt3270538,Requiem for the American Dream,movie,"Biography, Documentary, News",8.0,10076.0,2015.0,7.958752080795592
